Original_ID,system:index,B11,B12,B2,B3,B4,B8,Class,MNDWI,NDBI,NDVI,lat,lon,.geo
2154,2154,1862.0,1657.0,757.0,964.5,934.0,1932.0,1,-0.3175305,-0.018450184,0.34822053,28.107880998221972,113.13045819969707,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.13045819969709,28.107880998221972]}"
2155,2155,1458.0,1171.0,592.0,727.0,717.0,1446.0,1,-0.33455378,0.004132231,0.3370319,28.22466198515751,112.89024869272352,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.89024869272353,28.22466198515751]}"
2156,2156,1475.0,1211.0,822.0,1058.0,1148.0,1588.0,1,-0.16462693,-0.036891937,0.16081871,28.350515956462655,112.8320378623126,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.83203786231259,28.350515956462655]}"
2157,2157,1562.0,1216.5,714.5,937.5,914.0,1824.5,1,-0.24984998,-0.07751366,0.3324813,28.22645861572575,113.40624099192178,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.40624099192178,28.22645861572575]}"
2158,2158,1611.5,1535.0,729.0,782.0,826.0,1811.0,1,-0.3465636,-0.058290724,0.37353054,28.02074441566238,113.31982306158947,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.31982306158949,28.02074441566238]}"
2159,2159,2284.0,1889.0,969.0,1194.0,1245.0,2324.0,1,-0.3133985,-0.008680556,0.30232558,28.2020244399977,113.13944135253828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.13944135253828,28.2020244399977]}"
2160,2160,1460.0,1238.0,758.0,892.0,1048.0,1494.0,1,-0.2414966,-0.011509817,0.1754524,28.148844175177825,113.6400724603781,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.6400724603781,28.148844175177825]}"
2161,2161,2144.0,1949.0,552.5,639.5,1898.0,2359.0,1,-0.54050654,-0.047745947,0.10829222,28.564943814781987,113.3416521229936,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.3416521229936,28.564943814781987]}"
2162,2162,2478.0,2206.0,1222.0,1496.0,1632.0,1977.0,1,-0.2471062,0.112457916,0.09559435,28.296617039415484,112.58787576808888,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.58787576808889,28.296617039415484]}"
2163,2163,2090.0,1740.0,370.0,589.0,574.0,2580.0,1,-0.56028366,-0.10492505,0.63601774,28.337849710956572,112.96040711641326,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.96040711641326,28.337849710956572]}"
2164,2164,2116.0,1755.0,1500.0,1602.0,1614.0,2540.0,1,-0.13824637,-0.091065295,0.22291768,28.228524740879227,112.83895489000032,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.83895489000031,28.228524740879227]}"
2165,2165,2018.5,1527.5,581.0,760.5,905.0,2115.0,1,-0.45268083,-0.023345834,0.40066224,28.42256084224904,113.06407270020064,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.06407270020065,28.42256084224904]}"
2166,2166,2254.8333333333335,2077.75,1198.0,1421.090909090909,1584.0,2028.3333333333333,1,-0.22681165,0.052881435,0.12300452,28.20525837502053,113.08527294090588,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.08527294090588,28.20525837502053]}"
