Original_ID,Class,RF_Pred,prob_1,prob_2,prob_3,margin,lon,lat
0,1,1,0.9866666666666667,0.01,0.0033333333333333335,0.9766666666666667,118.66867847312966,29.216917463287036
1,1,1,0.9433333333333334,0.05333333333333334,0.0033333333333333335,0.89,118.71619911305623,29.23236824843722
2,1,1,0.9833333333333333,0.016666666666666666,0.0,0.9666666666666666,119.1654446259888,29.241170513916725
3,1,1,0.9966666666666667,0.0033333333333333335,0.0,0.9933333333333334,118.7115259751522,29.247819033587408
4,1,1,0.6733333333333333,0.32666666666666666,0.0,0.3466666666666667,119.07372537642044,29.249883597375153
5,1,1,0.9233333333333333,0.07666666666666666,0.0,0.8466666666666667,119.07390819956368,29.25105188185116
6,1,1,0.9966666666666667,0.0033333333333333335,0.0,0.9933333333333334,118.70829312688848,29.251591433078623
7,1,1,0.9833333333333333,0.016666666666666666,0.0,0.9666666666666666,119.10921090260382,29.252670535533564
8,1,1,0.99,0.01,0.0,0.98,119.15736027577888,29.25410636607277
9,1,1,0.9266666666666666,0.07333333333333333,0.0,0.8533333333333333,119.14074120615268,29.254284730114907
10,1,1,0.9333333333333333,0.06666666666666667,0.0,0.8666666666666667,119.07588358133034,29.25536383256984
11,1,1,0.9933333333333333,0.006666666666666667,0.0,0.9866666666666666,119.26785234078226,29.256170929860513
12,1,1,0.99,0.01,0.0,0.98,119.27620869615636,29.259314596103195
13,1,1,0.9733333333333334,0.02666666666666667,0.0,0.9466666666666668,119.15646399646717,29.260304516537055
14,1,1,0.9266666666666666,0.07333333333333333,0.0,0.8533333333333333,119.04623947752702,29.26057206260027
15,1,1,1.0,0.0,0.0,1.0,119.26812434594652,29.2616511650552
16,1,1,1.0,0.0,0.0,1.0,119.14604307730524,29.263359000758665
17,1,1,0.87,0.13,0.0,0.74,119.10283438809736,29.26398773400721
18,1,1,0.9166666666666666,0.08333333333333333,0.0,0.8333333333333333,119.10238401889094,29.264255280070415
19,1,1,0.9866666666666667,0.013333333333333334,0.0,0.9733333333333334,119.05072979228784,29.26919596403763
20,1,1,0.92,0.08,0.0,0.8400000000000001,119.0505514282457,29.2806068036334
21,1,1,0.85,0.13,0.02,0.72,119.15807819104847,29.282314639336864
22,1,1,0.97,0.016666666666666666,0.013333333333333334,0.9533333333333333,119.15798900902742,29.28240382135794
23,1,1,0.9266666666666666,0.04,0.03333333333333333,0.8866666666666666,119.15987520877304,29.28240382135794
24,1,1,0.9966666666666667,0.0033333333333333335,0.0,0.9933333333333334,119.2949815115914,29.283572105833944
25,1,1,0.9766666666666667,0.023333333333333334,0.0,0.9533333333333334,119.14667181055378,29.285186300415287
26,1,1,0.9866666666666667,0.013333333333333334,0.0,0.9733333333333334,119.00554572131328,29.289141523049697
27,1,1,0.9533333333333334,0.04666666666666667,0.0,0.9066666666666667,119.0092289387834,29.28959189225609
28,1,1,0.9633333333333334,0.03666666666666667,0.0,0.9266666666666667,119.11594860429554,29.290488171567823
29,1,1,0.99,0.01,0.0,0.98,119.09924035264828,29.29246355333451
30,1,1,1.0,0.0,0.0,1.0,119.29291694780366,29.29264191737665
31,1,1,0.9666666666666667,0.03333333333333333,0.0,0.9333333333333333,119.17658346042032,29.297225873259592
32,1,1,0.82,0.18,0.0,0.6399999999999999,119.2987539110826,29.298215793693466
33,1,1,0.9533333333333334,0.04666666666666667,0.0,0.9066666666666667,119.09708214773843,29.298483339756665
34,1,1,1.0,0.0,0.0,1.0,119.08720077980396,29.298933708963055
35,1,1,0.99,0.01,0.0,0.98,119.0868440517197,29.299112073005197
36,1,1,0.9866666666666667,0.0033333333333333335,0.01,0.9766666666666667,119.29255576061831,29.29965162423267
37,1,1,0.9066666666666666,0.09333333333333334,0.0,0.8133333333333332,119.0816313625882,29.300280357481203
38,1,1,0.9866666666666667,0.013333333333333334,0.0,0.9733333333333334,119.09438885070212,29.301988193184673
39,1,1,0.93,0.06333333333333334,0.006666666666666667,0.8666666666666667,119.0964534144899,29.304320303035627
40,1,1,0.9366666666666666,0.06333333333333334,0.0,0.8733333333333333,119.08791869507355,29.305488587511633
41,1,1,0.9833333333333333,0.016666666666666666,0.0,0.9666666666666666,119.1102900050587,29.306028138739094
42,1,1,0.9966666666666667,0.0,0.0033333333333333335,0.9933333333333334,119.0759727633514,29.30611732076016
43,1,1,0.9833333333333333,0.016666666666666666,0.0,0.9666666666666666,119.09160191254372,29.306656871987627
44,1,1,0.7966666666666666,0.20333333333333334,0.0,0.5933333333333333,119.11478031981952,29.306656871987627
45,1,1,0.9466666666666667,0.05333333333333334,0.0,0.8933333333333333,119.31187258638184,29.307107241194025
46,1,1,1.0,0.0,0.0,1.0,119.30890728418132,29.30746842837935
47,1,1,0.9433333333333334,0.05333333333333334,0.0033333333333333335,0.89,119.00841738239168,29.308815076897496
48,1,1,0.99,0.01,0.0,0.98,119.07183917667489,29.308815076897496
49,1,1,0.9966666666666667,0.0033333333333333335,0.0,0.9933333333333334,119.10525567996936,29.309354628124964
50,1,1,0.9633333333333334,0.03,0.006666666666666667,0.9333333333333333,119.1637367902853,29.31303784559511
51,1,1,0.9733333333333334,0.023333333333333334,0.0033333333333333335,0.9500000000000001,119.10912172058272,29.31393412490685
52,1,1,0.8333333333333334,0.16666666666666666,0.0,0.6666666666666667,119.11900308851716,29.314023306927915
53,1,1,0.9866666666666667,0.013333333333333334,0.0,0.9733333333333334,119.11837435526864,29.31438449411325
54,1,1,0.7333333333333333,0.26666666666666666,0.0,0.4666666666666666,119.25204036844671,29.31438449411325
