PointID,Original_ID,lon,lat,Class,margin,BoundaryScore,RF_Pred,prob_1,prob_2,prob_3,Method,Rule
1,9482,120.19509565024,30.317263075639552,2,0.11333333333333329,628.6221220002988,2,0.44333333333333336,0.5566666666666666,0.0,Top150,min_margin
2,6442,119.58504603511804,29.658528995216095,2,0.13999999999999996,908.3265651962892,2,0.43,0.57,0.0,Top150,min_margin
3,8370,120.0693311641286,30.076516209764,2,0.16666666666666669,691.890423941512,2,0.4166666666666667,0.5833333333333334,0.0,Top150,min_margin
4,12546,118.99161994872335,29.593488547250537,3,0.16666666666666669,1608.3789206427555,3,0.4166666666666667,0.0,0.5833333333333334,Top150,min_margin
5,14331,120.14389179284328,30.14568578530506,3,0.17000000000000004,584.9342872024342,3,0.41333333333333333,0.0033333333333333335,0.5833333333333334,Top150,min_margin
6,8955,120.20138298272536,30.19733555280712,2,0.18,530.8325388371296,2,0.41,0.59,0.0,Top150,min_margin
7,14831,120.17523927324896,30.422725274654596,3,0.18,465.1581507698192,3,0.41,0.0,0.59,Top150,min_margin
8,7027,119.08405711356129,29.798214794816342,2,0.1866666666666667,91.98502819623812,2,0.0,0.5933333333333334,0.4066666666666667,Top150,min_margin
9,9489,120.03411764310954,30.318970911343015,2,0.1866666666666667,401.61286753909985,2,0.4066666666666667,0.5933333333333334,0.0,Top150,min_margin
10,9145,119.73156317753218,30.23668266050273,2,0.19333333333333336,702.3945451340993,2,0.4033333333333333,0.5966666666666667,0.0,Top150,min_margin
11,6929,119.70784967812992,29.776565859201863,2,0.19666666666666666,1172.3594674903761,2,0.4,0.5966666666666667,0.0033333333333333335,Top150,min_margin
12,8848,120.17137769173674,30.177666458060376,2,0.19999999999999996,2289.88022134892,2,0.4,0.6,0.0,Top150,min_margin
13,9895,120.0740890249526,30.44482457947548,2,0.2033333333333333,523.5482888998881,2,0.39666666666666667,0.6,0.0033333333333333335,Top150,min_margin
14,14733,120.16913476390684,30.308099622974716,3,0.20666666666666672,1155.1747398477662,3,0.39666666666666667,0.0,0.6033333333333334,Top150,min_margin
15,9822,120.11882718582184,30.414101373217232,2,0.21333333333333337,641.3320469482953,2,0.3933333333333333,0.6066666666666667,0.0,Top150,min_margin
16,14931,120.27342867844588,30.49800381863887,3,0.21333333333333337,818.2945823653008,3,0.38,0.02666666666666667,0.5933333333333334,Top150,min_margin
17,9614,119.98965148740456,30.35031839174874,2,0.21666666666666667,660.3630299417978,2,0.39,0.6066666666666667,0.0033333333333333335,Top150,min_margin
18,8346,119.96898801312292,30.069595684929062,2,0.21999999999999997,654.9590036337464,2,0.39,0.61,0.0,Top150,min_margin
19,9118,119.9571312634218,30.230845697223767,2,0.21999999999999997,1719.3253812340286,2,0.39,0.61,0.0,Top150,min_margin
20,9537,120.03411764310954,30.331813122376943,2,0.21999999999999997,570.3859819445992,2,0.39,0.61,0.0,Top150,min_margin
21,14361,120.1320305840411,30.15789926309045,3,0.21999999999999997,399.563883642572,3,0.39,0.0,0.61,Top150,min_margin
22,10079,119.10462694672084,29.3828361543847,3,0.22000000000000003,658.5360020644961,3,0.38666666666666666,0.006666666666666667,0.6066666666666667,Top150,min_margin
23,355,119.2282376870234,29.560522413162406,1,0.22666666666666663,988.2578984356321,1,0.6133333333333333,0.38666666666666666,0.0,Top150,min_margin
24,8255,120.29471642687504,30.046778464838575,2,0.22666666666666663,536.9432554875384,2,0.38666666666666666,0.6133333333333333,0.0,Top150,min_margin
25,9875,120.23758642417828,30.436200678038112,2,0.22666666666666663,481.1213332214652,2,0.38333333333333336,0.61,0.006666666666666667,Top150,min_margin
26,14467,120.2003930622915,30.21575164015786,3,0.22666666666666663,912.074716506618,3,0.38333333333333336,0.006666666666666667,0.61,Top150,min_margin
27,12591,119.05100179745212,29.598518413238825,3,0.22999999999999993,946.3581690997439,3,0.0033333333333333335,0.38333333333333336,0.6133333333333333,Top150,min_margin
28,8057,120.20533374625867,30.006802623894437,2,0.2366666666666667,1436.4592948326226,2,0.37,0.6066666666666667,0.023333333333333334,Top150,min_margin
29,8584,120.27630033952428,30.121428275574313,2,0.24,299.03379492902883,2,0.3566666666666667,0.5966666666666667,0.04666666666666667,Top150,min_margin
30,9058,120.28537461016803,30.219256493585867,2,0.24,1071.5674466733144,2,0.38,0.62,0.0,Top150,min_margin
31,9299,120.08558904656944,30.27522267090766,2,0.24000000000000005,481.67665900651457,2,0.37666666666666665,0.6166666666666667,0.006666666666666667,Top150,min_margin
32,438,119.51677719798978,29.62430093552985,1,0.24666666666666665,766.9043082367243,1,0.6233333333333333,0.37666666666666665,0.0,Top150,min_margin
33,719,119.55082243453283,29.8532846928264,1,0.24666666666666665,1144.7168173515352,1,0.6233333333333333,0.37666666666666665,0.0,Top150,min_margin
34,8998,120.22985880205265,30.20452362370528,2,0.24999999999999994,1053.6007309727356,2,0.37333333333333335,0.6233333333333333,0.0033333333333333335,Top150,min_margin
35,9980,120.22123490061529,30.5124646833552,2,0.2533333333333333,519.6989369828145,2,0.3566666666666667,0.61,0.03333333333333333,Top150,min_margin
36,5568,118.84124122479696,29.442213544012375,2,0.25333333333333335,387.38745917838855,2,0.0,0.6266666666666667,0.37333333333333335,Top150,min_margin
37,7148,119.75464794368584,29.823101037795624,2,0.25333333333333335,586.2396379607285,2,0.37333333333333335,0.6266666666666667,0.0,Top150,min_margin
38,7863,120.0057310058033,29.970514459521485,2,0.25333333333333335,1107.9829022709014,2,0.37333333333333335,0.6266666666666667,0.0,Top150,min_margin
