system:index,Original_ID,B11_mean,B11_stdDev,B12_mean,B12_stdDev,B2_mean,B2_stdDev,B3_mean,B3_stdDev,B4_mean,B4_stdDev,B8_mean,B8_stdDev,Class,MNDWI_mean,MNDWI_stdDev,NDBI_mean,NDBI_stdDev,NDVI_mean,NDVI_stdDev,.geo
00000000000000001343_0,4931,715.5555555555554,233.7118886868621,561.111111111111,198.86284745714931,375.1666666666666,148.33220973357217,427.6666666666665,169.77468729007998,416.2777777777777,209.2217206579224,682.7777777777776,171.4894086640649,1,-0.2612515,0.0397648768332862,0.013640537,0.0446724419878075,0.27706242,0.1037294304201912,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cfc_0,3324,708.1666666666664,200.5423202773475,522.0555555555554,139.75006349520402,320.33333333333326,42.14920587099543,371.111111111111,47.810841272768755,370.33333333333326,85.06696708410902,623.5555555555554,69.12566834896668,1,-0.2964894,0.0923917415418359,0.047612764,0.1108933143884082,0.2618179,0.056470379822721,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ee6_0,3814,706.333333333333,251.4943118420154,596.4999999999998,242.5376259469858,382.72222222222206,116.98079403406145,453.2222222222222,156.6058589636045,455.3888888888887,183.06780434487743,704.3333333333333,144.86353731855525,1,-0.21696223,0.0392777481155283,-0.017247986,0.075574904602683,0.23946962,0.0938980764593029,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000dbf_0,3519,672.4444444444442,186.32997081707316,443.9999999999999,102.12900338950406,337.0555555555555,60.79174123570683,411.88888888888874,71.0405900320287,349.7222222222221,74.49910928293446,788.3333333333333,118.1397477566293,1,-0.22981417,0.0900500389626956,-0.08939508,0.1098284080291224,0.38928187,0.0564673450309028,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000adf_0,2783,542.7777777777777,199.02262728855607,383.88888888888886,150.03865757008128,322.88888888888886,33.53089601627609,487.88888888888874,62.26099982144074,372.77777777777766,84.81060963212582,572.7222222222222,352.96860980287306,1,-0.018494584,0.176596564607623,0.011421415,0.2247621117524258,0.14061975,0.1704609213349692,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e48_0,3656,815.6111111111107,211.83192731998352,736.5555555555554,210.52018172512635,503.722222222222,257.01989883093046,595.611111111111,323.82340675965986,686.9999999999998,393.08509115570496,801.722222222222,421.84055117696306,1,-0.19504274,0.1706597796235688,0.05140657,0.1708562474919795,0.08867274,0.026414560103872,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011cf_0,4559,441.1111111111109,89.15460285300225,344.2777777777777,64.21236948642935,345.9444444444444,39.72715587076741,337.83333333333326,32.257643366426436,288.9444444444444,50.47906301100624,399.2777777777776,22.49705056114271,1,-0.12343094,0.0925977413132794,0.039621398,0.1153176636112529,0.16575609,0.0805575361853898,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000399_0,921,994.222222222222,114.93575768689992,807.5555555555552,55.60597711899326,461.9999999999999,133.83053131147284,533.9999999999998,135.95035858724316,534.6666666666666,173.0666217257261,947.4444444444442,256.08759834223,1,-0.3090374,0.1149749613289039,0.039287977,0.1208930584981935,0.28358018,0.0640072672685492,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a9_0,1449,1012.7777777777776,242.46341202919575,760.6666666666666,207.0293859978981,368.7222222222222,56.238633968272005,492.49999999999983,53.65372514767471,506.6111111111109,55.59115526061576,1085.8888888888885,158.76061255476858,1,-0.32952157,0.1183584340950825,-0.044310573,0.1192376260983464,0.361306,0.0333941882845591,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e41_0,3649,762.6666666666664,226.74557450048624,671.3333333333334,234.28804683314272,476.1666666666666,216.88604278642632,528.611111111111,271.60610549693075,540.7777777777777,325.9257849326294,770.6666666666665,367.9722211737668,1,-0.20504561,0.1756905228339744,0.018715223,0.1623597019791482,0.20681532,0.0635859262089854,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002eb_0,747,1070.8888888888885,225.627615746952,807.944444444444,222.5868674927766,399.111111111111,68.40556254906711,501.94444444444434,78.91114709470676,477.33333333333314,102.4903789522596,1026.9999999999998,276.85866831692704,1,-0.3551101,0.0737474874825404,0.026622204,0.1735739233646144,0.35339776,0.1333234589363013,"{""type"":""MultiPoint"",""coordinates"":[]}"
