held_out,wc_vs_human_acc,operator_acc,n_operator_fires,fire_precision_vs_human,OA_vs_Human,changed_toward_Human_frac,n_changed
Wuhan,0.4133333333333333,0.7333333333333333,19,0.7368421052631579,0.4733333333333333,0.7368421052631579,19
Hefei,0.5066666666666667,0.6666666666666666,32,0.6875,0.5866666666666667,0.6875,32
Nanchang,0.46,0.74,11,0.8181818181818182,0.5066666666666667,0.8181818181818182,11
Nanjing,0.32,0.7533333333333333,16,0.875,0.4,0.875,16
Changsha,0.5066666666666667,0.7333333333333333,20,0.85,0.6066666666666667,0.85,20
Hangzhou,0.5333333333333333,0.6866666666666666,4,1.0,0.56,1.0,4
