Original_ID,B2,B3,B4,B8,B11,B12,NDVI,NDBI,MNDWI,Class,lon,lat,system:index,RF_Pred,prob_1,prob_2,prob_3,margin
0,539.0,605.0,687.0,1150.0,1574.5,1489.0,0.25204136967658997,0.15580840408802032,-0.44482678174972534,1,118.66867847312966,29.216917463287036,0,1,0.9866666666666667,0.01,0.0033333333333333335,0.9766666666666667
1,661.0,913.5,997.5,2021.0,1921.0,1594.0,0.3390757143497467,-0.02536783367395401,-0.3554418683052063,1,118.71619911305625,29.23236824843722,1,1,0.9433333333333334,0.05333333333333334,0.0033333333333333335,0.89
2,655.0,806.0,766.0,1473.0,1350.0,1013.0,0.31576597690582275,-0.04357067123055458,-0.2523190975189209,1,119.1654446259888,29.241170513916725,2,1,0.9833333333333333,0.016666666666666666,0.0,0.9666666666666666
3,816.0,960.5,1092.0,1630.0,1756.0,1512.5,0.1976487934589386,0.03721205145120621,-0.29284006357192993,1,118.71152597515221,29.247819033587408,3,1,0.9966666666666667,0.0033333333333333335,0.0,0.9933333333333334
4,574.0,880.0,866.0,3280.0,2079.0,1503.0,0.5822479724884033,-0.2241089791059494,-0.4052044749259949,1,119.07372537642044,29.249883597375153,4,1,0.6733333333333333,0.32666666666666666,0.0,0.3466666666666667
5,852.0,1070.0,1188.0,2544.0,2154.0,1689.0,0.3633440434932709,-0.08301404863595963,-0.33622828125953674,1,119.07390819956368,29.251051881851158,5,1,0.9233333333333333,0.07666666666666666,0.0,0.8466666666666667
6,505.5,582.0,702.5,1195.0,1963.5,1658.0,0.2595520317554474,0.24331170320510864,-0.5427224636077881,1,118.70829312688848,29.251591433078623,6,1,0.9966666666666667,0.0033333333333333335,0.0,0.9933333333333334
7,533.0,641.0,977.0,1470.0,2236.0,1934.0,0.20147119462490082,0.20669184625148773,-0.55439692735672,1,119.10921090260382,29.252670535533564,7,1,0.9833333333333333,0.016666666666666666,0.0,0.9666666666666666
8,832.0,900.0,916.0,1456.0,1409.0,1041.0,0.22765599191188812,-0.016404885798692703,-0.22044174373149872,1,119.15736027577888,29.25410636607277,8,1,0.99,0.01,0.0,0.98
9,647.0,896.0,948.0,1810.0,1941.0,1569.0,0.3125453293323517,0.03492401912808418,-0.36834684014320374,1,119.14074120615268,29.254284730114907,9,1,0.9266666666666666,0.07333333333333333,0.0,0.8533333333333333
10,829.0,964.0,1150.0,2128.0,2151.0,1960.0,0.2983526587486267,0.0053750877268612385,-0.3810593783855438,1,119.07588358133034,29.255363832569838,10,1,0.9333333333333333,0.06666666666666667,0.0,0.8666666666666667
11,918.0,1060.0,1150.0,1482.0,1557.0,1323.0,0.1261398196220398,0.024679170921444893,-0.1899121105670929,1,119.26785234078226,29.256170929860513,11,1,0.9933333333333333,0.006666666666666667,0.0,0.9866666666666666
12,843.0,981.0,1064.0,1804.0,1771.0,1533.0,0.2580195367336273,-0.009230769239366055,-0.28706395626068115,1,119.27620869615637,29.259314596103195,12,1,0.99,0.01,0.0,0.98
13,467.0,531.0,570.0,1562.0,1677.0,1411.0,0.4652908146381378,0.0355047844350338,-0.51902174949646,1,119.15646399646715,29.260304516537058,13,1,0.9733333333333334,0.02666666666666667,0.0,0.9466666666666668
14,900.0,991.5,1133.0,1740.0,1657.0,1249.5,0.21127741038799286,-0.024433324113488197,-0.25127431750297546,1,119.04623947752702,29.26057206260027,14,1,0.9266666666666666,0.07333333333333333,0.0,0.8533333333333333
15,706.0,749.0,863.0,1296.0,1361.0,1295.0,0.20055581629276276,0.024463681504130363,-0.29004740715026855,1,119.26812434594652,29.2616511650552,15,1,1.0,0.0,0.0,1.0
16,802.0,947.0,994.0,1492.0,1805.0,1706.0,0.20032180845737457,0.09493479132652283,-0.31177327036857605,1,119.14604307730524,29.263359000758662,16,1,1.0,0.0,0.0,1.0
17,738.0,982.0,1098.0,1942.0,1987.0,1392.0,0.27763158082962036,0.011453296057879925,-0.3384978175163269,1,119.10283438809736,29.26398773400721,17,1,0.87,0.13,0.0,0.74
