Method,OA_mean,OA_std,dOA_vs_RF_pp,dOA_vs_MLP_pp,BE_mean,dBE_vs_RF,dBE_vs_MLP,n_seed_mean,n_exp_mean
Baseline_RF,0.9031555555555556,0.0017407249802280876,0.0,-0.6311111111111045,304.2,0.0,21.19999999999999,0.0,
Baseline_MLP,0.9094666666666666,0.001038517461826458,0.6311111111111045,0.0,283.0,-21.19999999999999,0.0,0.0,
PE_BAMS_Human_high,0.9064888888888889,0.0006028737762777816,0.33333333333332993,-0.2977777777777746,289.8,-14.399999999999977,6.800000000000011,73.0,16.6
PE_BAMS_WC_all,0.907688888888889,0.0016426416544512426,0.4533333333333389,-0.1777777777777656,287.4,-16.80000000000001,4.399999999999977,150.0,23.4
PE_BAMS_WC_high,0.9081777777777778,0.0019188473906598103,0.502222222222215,-0.1288888888888895,283.4,-20.80000000000001,0.39999999999997726,73.0,21.4
PE_Random150_WC,0.9083555555555556,0.0013377703949593168,0.5199999999999982,-0.11111111111110628,281.4,-22.80000000000001,-1.6000000000000227,150.0,14.8
PE_Margin150_WC,0.9087555555555555,0.002157273084357627,0.5599999999999938,-0.07111111111111068,284.6,-19.599999999999966,1.6000000000000227,150.0,41.0
PE_Easy150_WC,0.9056888888888889,0.0015813730555250941,0.25333333333332764,-0.3777777777777769,289.8,-14.399999999999977,6.800000000000011,150.0,0.2
