PointID,Original_ID,lon,lat,Class,margin,BoundaryScore,RF_Pred,prob_1,prob_2,prob_3,Method
1,9358,112.72199424000794,27.979152418007647,2,0.4633333333333333,2046.973643997946,2,0.24333333333333335,0.7066666666666667,0.05,BAMS150
2,7015,113.11527667139546,28.096023236471595,2,0.29,2035.7996816644954,2,0.35333333333333333,0.6433333333333333,0.0033333333333333335,BAMS150
3,8825,112.5480804010024,28.238675703589777,2,0.39999999999999997,2007.2491998336677,2,0.3,0.7,0.0,BAMS150
4,6953,113.37363214710824,28.270296401590784,2,0.3366666666666667,1849.517128874229,2,0.3,0.6366666666666667,0.06333333333333334,BAMS150
5,8352,112.13126210917096,28.105096220841205,2,0.42666666666666664,1808.0414456629521,2,0.2833333333333333,0.71,0.006666666666666667,BAMS150
6,12379,113.04161481809768,28.19618539065092,3,0.3966666666666666,1800.1882973310924,3,0.29333333333333333,0.016666666666666666,0.69,BAMS150
7,7845,112.5781739630204,28.240113008044368,2,0.48333333333333334,1730.713085828816,2,0.25666666666666665,0.74,0.0033333333333333335,BAMS150
8,5675,113.31344502307223,28.207055005588767,2,0.3466666666666667,1701.9704697282664,2,0.32666666666666666,0.6733333333333333,0.0,BAMS150
9,2399,112.87910958320045,27.99783737591733,1,0.4933333333333333,1606.8304581476032,1,0.73,0.23666666666666666,0.03333333333333333,BAMS150
10,4129,112.94288996837294,28.057395679254455,1,0.32666666666666666,1560.3036810883525,1,0.6633333333333333,0.33666666666666667,0.0,BAMS150
11,9399,112.910191292031,28.495324380262723,2,0.53,1552.3071484340662,2,0.23,0.76,0.01,BAMS150
12,13669,111.99597582738254,27.991908495042143,3,0.5166666666666666,1548.6613027847388,3,0.21333333333333335,0.056666666666666664,0.73,BAMS150
13,7646,113.43426842878632,28.19555656995204,2,0.5733333333333333,1532.8986439307705,2,0.21333333333333335,0.7866666666666666,0.0,BAMS150
14,7754,112.88216385516644,28.271284548403315,2,0.38333333333333336,1524.1599275250778,2,0.2866666666666667,0.67,0.043333333333333335,BAMS150
15,6066,113.83761199135596,28.28574742447764,2,0.5133333333333334,1521.1498293716588,2,0.10666666666666667,0.7033333333333334,0.19,BAMS150
16,7204,112.8456922546312,28.29625771330184,2,0.5233333333333334,1499.116650581514,2,0.22333333333333333,0.7466666666666667,0.03,BAMS150
17,2217,112.99544141249392,27.987327087093135,1,0.56,1483.0376106720278,1,0.77,0.02,0.21,BAMS150
18,6490,113.03622492639296,28.431903321203883,2,0.47000000000000003,1467.255384105315,2,0.19,0.66,0.15,BAMS150
19,7958,113.0328113283133,28.23894519817501,2,0.37,1465.9662127640613,2,0.2833333333333333,0.6533333333333333,0.06333333333333334,BAMS150
20,10962,112.0009165614452,27.989213549189785,3,0.35,1417.3328366791243,3,0.2633333333333333,0.12333333333333334,0.6133333333333333,BAMS150
21,13421,113.3793813649266,28.132315173950023,3,0.4766666666666666,1392.70928037939,3,0.22333333333333333,0.07666666666666666,0.7,BAMS150
22,1975,113.04987931871156,28.265804825170186,1,0.5766666666666667,1392.5008538230186,1,0.7833333333333333,0.01,0.20666666666666667,BAMS150
23,9697,113.23088984846164,28.303983224745267,2,0.37,1391.387845104422,2,0.31333333333333335,0.6833333333333333,0.0033333333333333335,BAMS150
24,8854,112.09380236182317,28.044909096805196,2,0.5866666666666667,1380.802011612178,2,0.2,0.7866666666666666,0.013333333333333334,BAMS150
