PointID,Original_ID,lon,lat,Class,margin,RF_Pred,prob_1,prob_2,prob_3
47,1771,112.72432985974665,28.035566617850353,1,0.26666666666666666,1,0.6333333333333333,0.36666666666666664,0.0
48,8822,112.05544429919124,28.07805693078921,2,0.26666666666666666,2,0.0,0.6333333333333333,0.36666666666666664
49,9588,112.83437348205128,28.30344423557479,2,0.26666666666666666,2,0.36666666666666664,0.6333333333333333,0.0
50,7887,113.44882113638904,28.35195326091725,2,0.27,2,0.36,0.63,0.01
51,1854,113.61743491521828,28.13680675037062,1,0.2733333333333334,1,0.6366666666666667,0.36333333333333334,0.0
52,7178,112.81829363846556,28.301737436534967,2,0.2733333333333334,2,0.36333333333333334,0.6366666666666667,0.0
53,7701,112.51268677880807,28.13671691884221,2,0.2733333333333334,2,0.06666666666666667,0.6033333333333334,0.33
54,7763,113.17770958364176,28.086860420573576,2,0.2733333333333334,2,0.0,0.6366666666666667,0.36333333333333334
55,7153,112.1542589804444,28.033410661168464,2,0.2766666666666666,2,0.3566666666666667,0.6333333333333333,0.01
56,6743,112.65201547937502,28.178308916496945,2,0.2766666666666667,2,0.36,0.6366666666666667,0.0033333333333333335
57,12119,112.79125434841356,28.370817881883756,3,0.27999999999999997,3,0.33,0.06,0.61
58,2460,112.96256307309515,28.37090771341217,1,0.28,1,0.64,0.36,0.0
59,3068,112.15641493712629,27.99136950587167,1,0.28,1,0.64,0.36,0.0
60,3291,113.8677953849024,28.08371631707916,1,0.28,1,0.64,0.36,0.0
61,7661,113.11608515515115,28.403875884339357,2,0.28,2,0.36,0.64,0.0
62,9203,112.84605158074484,28.319344416103707,2,0.28,2,0.36,0.64,0.0
63,1212,113.12264285672524,28.271284548403315,1,0.28333333333333327,1,0.6233333333333333,0.03666666666666667,0.34
64,6016,113.41666144921756,28.207773657816062,2,0.2833333333333333,2,0.3566666666666667,0.64,0.0033333333333333335
65,8466,112.73771475748003,28.417620108186384,2,0.2833333333333333,2,0.016666666666666666,0.6333333333333333,0.35
66,2043,113.51790158173785,28.44995945841469,1,0.2866666666666666,1,0.6433333333333333,0.3566666666666667,0.0
67,5465,111.96866704274532,28.184327628900544,2,0.2866666666666666,2,0.3566666666666667,0.6433333333333333,0.0
68,7950,113.5003844336975,28.056138037856687,2,0.2866666666666666,2,0.3566666666666667,0.6433333333333333,0.0
69,9590,113.44334141315592,28.225290805856396,2,0.2866666666666666,2,0.3566666666666667,0.6433333333333333,0.0
70,9611,113.75640428967156,28.021373236361264,2,0.2866666666666666,2,0.3566666666666667,0.6433333333333333,0.0
71,7015,113.11527667139546,28.096023236471595,2,0.29,2,0.35333333333333333,0.6433333333333333,0.0033333333333333335
72,8662,112.7767016408108,28.45391204566481,2,0.29000000000000004,2,0.35,0.64,0.01
73,9549,112.60539291612923,27.933158675460728,2,0.29000000000000004,2,0.01,0.64,0.35
74,9805,112.98960236314714,28.41824892888527,2,0.29000000000000004,2,0.33666666666666667,0.6266666666666667,0.03666666666666667
75,12684,112.99616006472122,28.27469814648297,3,0.29000000000000004,3,0.31333333333333335,0.08333333333333333,0.6033333333333334
76,3456,113.624351942906,27.917348326460225,1,0.2933333333333333,1,0.6466666666666666,0.35333333333333333,0.0
77,3852,112.49373232631316,28.30236625723385,1,0.2933333333333333,1,0.6466666666666666,0.35333333333333333,0.0
78,6266,112.42581969083372,28.05937197287952,2,0.2933333333333333,2,0.35333333333333333,0.6466666666666666,0.0
79,7079,112.86752131603532,28.108599650449268,2,0.2933333333333333,2,0.35333333333333333,0.6466666666666666,0.0
80,8760,113.47639941561152,28.03080554684452,2,0.2933333333333333,2,0.35333333333333333,0.6466666666666666,0.0
81,7788,113.25873762226936,28.4275015763117,2,0.29333333333333333,2,0.006666666666666667,0.6433333333333333,0.35
82,8555,112.72352137599094,28.374680637605472,2,0.29666666666666663,2,0.35,0.6466666666666666,0.0033333333333333335
83,7712,112.87758244721743,28.281705005699106,2,0.29999999999999993,2,0.3466666666666667,0.6466666666666666,0.006666666666666667
84,9932,112.60575224224289,28.204449891264822,2,0.29999999999999993,2,0.3466666666666667,0.6466666666666666,0.006666666666666667
85,174,112.211302000986,27.998106870502568,1,0.3,1,0.64,0.34,0.02
86,2652,113.20681499884724,28.228075583237164,1,0.30000000000000004,1,0.65,0.35,0.0
87,3818,113.21570832016003,28.33102251479726,1,0.30000000000000004,1,0.65,0.35,0.0
88,5127,112.45438611686872,28.100245318306957,2,0.30000000000000004,2,0.06666666666666667,0.6166666666666667,0.31666666666666665
89,6326,113.3921374419611,28.26876926560778,2,0.30000000000000004,2,0.35,0.65,0.0
90,6704,112.47558635757396,28.24720969878891,2,0.30000000000000004,2,0.35,0.65,0.0
91,8414,113.60360085984284,28.428310060067407,2,0.30000000000000004,2,0.35,0.65,0.0
92,9711,112.89572841595664,27.956964030489893,2,0.30000000000000004,2,0.35,0.65,0.0
93,9884,113.5852752280468,28.495863369433195,2,0.30000000000000004,2,0.35,0.65,0.0
94,5437,113.25496469807604,28.26778111879525,2,0.30333333333333334,2,0.3466666666666667,0.65,0.0033333333333333335
95,7561,112.8697671042456,28.180824199292477,2,0.30333333333333334,2,0.3466666666666667,0.65,0.0033333333333333335
96,11393,112.7577471883159,28.26832010796572,3,0.30333333333333334,3,0.043333333333333335,0.32666666666666666,0.63
97,13902,112.63162372242552,28.302006931120204,3,0.3033333333333334,3,0.3333333333333333,0.03,0.6366666666666667
98,5219,113.06101842823465,28.30461204544415,2,0.3066666666666666,2,0.34,0.6466666666666666,0.013333333333333334
99,2034,112.45824887259045,28.13941186469457,1,0.30666666666666664,1,0.6533333333333333,0.3466666666666667,0.0
100,5250,113.68768317043644,28.26733196115319,2,0.30666666666666664,2,0.0,0.6533333333333333,0.3466666666666667
101,5700,113.80688960863908,28.186214090997197,2,0.30666666666666664,2,0.0,0.6533333333333333,0.3466666666666667
102,7499,112.91459303692316,28.112642069227807,2,0.30666666666666664,2,0.3466666666666667,0.6533333333333333,0.0
103,6738,112.69217017257516,28.37881288791242,2,0.3066666666666667,2,0.33,0.6366666666666667,0.03333333333333333
104,5443,112.37308858365591,28.07374501742543,2,0.31,2,0.3433333333333333,0.6533333333333333,0.0033333333333333335
105,10735,112.7917035060556,28.45732564374447,3,0.31,3,0.3333333333333333,0.023333333333333334,0.6433333333333333
