City,Seed,Model,true,pred,count
Hefei,3,RF,1,3,2
Hefei,3,RF,2,1,155
Hefei,3,RF,2,2,1310
Hefei,3,RF,2,3,35
Hefei,3,RF,3,1,9
Hefei,3,RF,3,2,20
Hefei,3,RF,3,3,1471
Hefei,4,RF,1,1,1416
Hefei,4,RF,1,2,83
Hefei,4,RF,1,3,1
Hefei,4,RF,2,1,156
Hefei,4,RF,2,2,1309
Hefei,4,RF,2,3,35
Hefei,4,RF,3,1,9
Hefei,4,RF,3,2,21
Hefei,4,RF,3,3,1470
Nanjing,0,RF,1,1,1390
Nanjing,0,RF,1,2,102
Nanjing,0,RF,1,3,8
Nanjing,0,RF,2,1,196
Nanjing,0,RF,2,2,1226
Nanjing,0,RF,2,3,78
Nanjing,0,RF,3,1,11
Nanjing,0,RF,3,2,30
Nanjing,0,RF,3,3,1459
Nanjing,1,RF,1,1,1386
Nanjing,1,RF,1,2,107
Nanjing,1,RF,1,3,7
Nanjing,1,RF,2,1,201
Nanjing,1,RF,2,2,1218
Nanjing,1,RF,2,3,81
Nanjing,1,RF,3,1,13
Nanjing,1,RF,3,2,31
Nanjing,1,RF,3,3,1456
Nanjing,2,RF,1,1,1388
Nanjing,2,RF,1,2,104
Nanjing,2,RF,1,3,8
Nanjing,2,RF,2,1,195
Nanjing,2,RF,2,2,1225
Nanjing,2,RF,2,3,80
Nanjing,2,RF,3,1,12
Nanjing,2,RF,3,2,32
Nanjing,2,RF,3,3,1456
Nanjing,3,RF,1,1,1391
Nanjing,3,RF,1,2,102
Nanjing,3,RF,1,3,7
Nanjing,3,RF,2,1,202
Nanjing,3,RF,2,2,1218
Nanjing,3,RF,2,3,80
Nanjing,3,RF,3,1,12
Nanjing,3,RF,3,2,32
Nanjing,3,RF,3,3,1456
Nanjing,4,RF,1,1,1383
Nanjing,4,RF,1,2,110
Nanjing,4,RF,1,3,7
Nanjing,4,RF,2,1,202
Nanjing,4,RF,2,2,1213
Nanjing,4,RF,2,3,85
Nanjing,4,RF,3,1,14
Nanjing,4,RF,3,2,30
Nanjing,4,RF,3,3,1456
