City,Seed,Model,OA,BE,Rec_C1,Rec_C2,Rec_C3,Prec_C1,Prec_C2,Prec_C3,n_err,err_C12_share,err_water_share,mean_margin_all,mean_margin_err,mean_margin_ok,low_margin_frac,low_margin_among_err,ndvi_c12_err,ndvi_c1_true,ndvi_c2_true,ndbi_c1_true,ndbi_c2_true
Wuhan,0,RF,0.9122222222222223,292,0.93,0.8386666666666667,0.968,0.8669981354878806,0.9089595375722543,0.9635036496350365,395,0.739240506329114,0.2607594936708861,0.8007592592592593,0.4577890295358649,0.8337612667478684,0.034666666666666665,0.17215189873417722,0.30085348131849315,0.22841904444175998,0.4380000446794667,0.01225209878928,-0.062304322688278006
Wuhan,1,RF,0.9095555555555556,299,0.9286666666666666,0.834,0.966,0.8641439205955335,0.9052098408104197,0.9621513944223108,407,0.7346437346437347,0.26535626535626533,0.7999185185185185,0.4421539721539721,0.8354939327306783,0.03711111111111111,0.1891891891891892,0.30123911910033446,0.22841904444175998,0.4380000446794667,0.01225209878928,-0.062304322688278006
Wuhan,2,RF,0.9091111111111111,300,0.926,0.8353333333333334,0.966,0.8659600997506235,0.9020878329733621,0.9615129396151294,409,0.7334963325183375,0.2665036674816626,0.8016777777777778,0.44777506112469434,0.8370593986800293,0.035333333333333335,0.18581907090464547,0.30240196810333336,0.22841904444175998,0.4380000446794667,0.01225209878928,-0.062304322688278006
Wuhan,3,RF,0.9095555555555556,298,0.9266666666666666,0.8366666666666667,0.9653333333333334,0.8665835411471322,0.9022286125089863,0.9621262458471761,407,0.7321867321867321,0.2678132678132678,0.80032,0.4453562653562653,0.835616906914244,0.036,0.1941031941031941,0.2991245217818792,0.22841904444175998,0.4380000446794667,0.01225209878928,-0.062304322688278006
Wuhan,4,RF,0.9097777777777778,295,0.9293333333333333,0.8346666666666667,0.9653333333333334,0.8663766314481044,0.9046242774566474,0.9608493696084937,406,0.7266009852216748,0.2733990147783251,0.8001844444444445,0.44500821018062403,0.8354070998208761,0.033555555555555554,0.1748768472906404,0.29955459271525425,0.22841904444175998,0.4380000446794667,0.01225209878928,-0.062304322688278006
Wuhan,0,MLP,0.9282222222222222,221,0.9493333333333334,0.8706666666666667,0.9646666666666667,0.898989898989899,0.9197183098591549,0.9672459893048129,323,0.6842105263157895,0.3157894736842105,0.8910635709762573,0.5780194401741028,0.9152706861495972,0.017777777777777778,0.11764705882352941,0.29916885079276023,0.22841904444175998,0.4380000446794667,0.01225209878928,-0.062304322688278006
Wuhan,1,MLP,0.9291111111111111,218,0.946,0.864,0.9773333333333334,0.9003807106598984,0.9317038102084831,0.9562948467058056,319,0.6833855799373041,0.3166144200626959,0.912887454032898,0.623805820941925,0.934943675994873,0.013555555555555555,0.11598746081504702,0.30127333788990823,0.22841904444175998,0.4380000446794667,0.01225209878928,-0.062304322688278006
Wuhan,2,MLP,0.9264444444444444,229,0.956,0.85,0.9733333333333334,0.8884758364312267,0.9347507331378299,0.9592641261498029,331,0.6918429003021148,0.3081570996978852,0.9084683060646057,0.6177339553833008,0.9315513968467712,0.01711111111111111,0.12084592145015106,0.3120792160393013,0.22841904444175998,0.4380000446794667,0.01225209878928,-0.062304322688278006
Wuhan,3,MLP,0.9262222222222222,217,0.9513333333333334,0.8826666666666667,0.9446666666666667,0.9008838383838383,0.9025221540558964,0.9779158040027606,332,0.6536144578313253,0.3463855421686747,0.886894166469574,0.5694169402122498,0.912182629108429,0.02288888888888889,0.14759036144578314,0.30214420510783413,0.22841904444175998,0.4380000446794667,0.01225209878928,-0.062304322688278006
Wuhan,4,MLP,0.9322222222222222,208,0.958,0.8646666666666667,0.974,0.8975640224859462,0.9398550724637681,0.9618169848584596,305,0.6819672131147541,0.3180327868852459,0.9093433022499084,0.6274158954620361,0.9298410415649414,0.015111111111111112,0.09836065573770492,0.3046784631298077,0.22841904444175998,0.4380000446794667,0.01225209878928,-0.062304322688278006
Changsha,0,RF,0.9286666666666666,239,0.9453333333333334,0.8726666666666667,0.968,0.8791072535647861,0.9343326195574589,0.9771197846567967,321,0.7445482866043613,0.2554517133956386,0.8377407407407407,0.41165109034267916,0.8704698093642815,0.03111111111111111,0.22429906542056074,0.39561158914644357,0.28474792822635997,0.619532370906,0.00577925590168,-0.14994944949963335
Changsha,1,RF,0.93,232,0.9473333333333334,0.8753333333333333,0.9673333333333334,0.8804213135068154,0.9371877230549608,0.9771043771043771,315,0.7365079365079366,0.2634920634920635,0.8370807407407407,0.41700529100529105,0.8686993229788929,0.030666666666666665,0.19047619047619047,0.39347505416379314,0.28474792822635997,0.619532370906,0.00577925590168,-0.14994944949963335
Changsha,2,RF,0.9297777777777778,232,0.9466666666666667,0.876,0.9666666666666667,0.8825357364822871,0.9339019189765458,0.977088948787062,316,0.7341772151898734,0.26582278481012656,0.8381866666666667,0.41689873417721524,0.8700047801147227,0.03088888888888889,0.2088607594936709,0.39176213931034487,0.28474792822635997,0.619532370906,0.00577925590168,-0.14994944949963335
Changsha,3,RF,0.9302222222222222,229,0.946,0.8786666666666667,0.966,0.8846633416458853,0.9327671620665251,0.9770734996628456,314,0.7292993630573248,0.27070063694267515,0.8376762962962963,0.4147770700636943,0.8693987896161809,0.03333333333333333,0.23248407643312102,0.39456962122270745,0.28474792822635997,0.619532370906,0.00577925590168,-0.14994944949963335
Changsha,4,RF,0.9288888888888889,239,0.9466666666666667,0.872,0.968,0.8787128712871287,0.9349535382416011,0.9777777777777777,320,0.746875,0.253125,0.83918,0.4172395833333334,0.871481658692185,0.030222222222222223,0.225,0.3937351406108787,0.28474792822635997,0.619532370906,0.00577925590168,-0.14994944949963335
Changsha,0,MLP,0.9448888888888889,172,0.954,0.91,0.9706666666666667,0.9220360824742269,0.934931506849315,0.978494623655914,248,0.6935483870967742,0.3064516129032258,0.9283993244171143,0.6156585216522217,0.946640133857727,0.011777777777777778,0.0967741935483871,0.3998702692500001,0.28474792822635997,0.619532370906,0.00577925590168,-0.14994944949963335
Changsha,1,MLP,0.946,179,0.9506666666666667,0.9066666666666666,0.9806666666666667,0.9194068343004513,0.9424809424809425,0.9767596281540505,243,0.7366255144032922,0.26337448559670784,0.9205569624900818,0.5815135836601257,0.9399104118347168,0.014,0.13991769547325103,0.4015340659273743,0.28474792822635997,0.619532370906,0.00577925590168,-0.14994944949963335
