City,Model,Seed,OA,BE,Rec_C1,Rec_C2,Rec_C3,Prec_C1,Prec_C2,Prec_C3,n_err,err_C12_share,err_water_share,mean_margin_all,mean_margin_err,mean_margin_ok,low_margin_frac,low_margin_among_err,ndvi_c12_err,ndvi_c1_true,ndvi_c2_true,ndbi_c1_true,ndbi_c2_true
Wuhan,RF,2.0,0.9100444444444445,296.8,0.9281333333333333,0.8358666666666666,0.9661333333333333,0.8660124656858548,0.904622020264334,0.9620287198256292,404.8,0.7332336581799186,0.26676634182008135,0.8005720000000001,0.44761650767028416,0.8354677209787391,0.035333333333333335,0.18322804004436927,0.30063473660385887,0.22841904444175998,0.4380000446794667,0.01225209878928,-0.062304322688278
Wuhan,MLP,2.0,0.9284444444444444,218.6,0.9521333333333333,0.8664,0.9667999999999999,0.8972588613901618,0.9257100159450264,0.9645075502043283,322.0,0.6790041355002575,0.32099586449974243,0.9017313599586487,0.6032784104347229,0.9247578859329224,0.01728888888888889,0.12008629165444311,0.3038688145919223,0.22841904444175998,0.4380000446794667,0.01225209878928,-0.062304322688278
Changsha,RF,2.0,0.9295111111111112,234.2,0.9464,0.8749333333333332,0.9672000000000001,0.8810881032973805,0.9346285923794184,0.9772328775977719,317.2,0.7382815602718992,0.26171843972810077,0.8379728888888888,0.4155143537844427,0.8700108721532527,0.031244444444444446,0.21622401836470861,0.39383070889083355,0.28474792822635997,0.619532370906,0.00577925590168,-0.14994944949963335
Changsha,MLP,2.0,0.945288888888889,176.8,0.9528000000000001,0.9066666666666666,0.9763999999999999,0.9198426190418385,0.939850957473032,0.9773220495915739,246.2,0.7181047946805759,0.28189520531942425,0.9256837010383606,0.5947475910186768,0.9448409676551819,0.012888888888888889,0.11785013170765173,0.4006897357897696,0.28474792822635997,0.619532370906,0.00577925590168,-0.14994944949963335
Nanchang,RF,2.0,0.9124888888888888,206.0,0.9488,0.8334666666666667,0.9551999999999999,0.8950978754572685,0.9215788670858611,0.9223645046541435,393.8,0.5231243169338575,0.4768756830661425,0.7979995555555556,0.4332320518593259,0.8329902172519423,0.037955555555555555,0.208602277291719,0.31752804137484536,0.23486099950426667,0.4439083657888,0.028959583767108672,-0.08178806294822667
Nanchang,MLP,2.0,0.9290222222222223,157.0,0.9617333333333333,0.8468,0.9785333333333334,0.9316109910776674,0.9387033866655031,0.9185843360655849,319.4,0.4916048424162227,0.5083951575837773,0.8948741316795349,0.5904132843017578,0.9181316018104553,0.018622222222222224,0.1259025020838812,0.3111078376013065,0.23486099950426667,0.4439083657888,0.028959583767108672,-0.08178806294822667
Hefei,RF,2.0,0.9324888888888889,239.6,0.9433333333333334,0.8721333333333334,0.982,0.8952324549204592,0.9283362183214464,0.9753683602299509,303.8,0.7886881481352138,0.21131185186478615,0.8147522962962963,0.3879726536279887,0.8456520162711785,0.038311111111111115,0.2764980720633786,0.30802081321718316,0.24051294368206663,0.4179869452080666,-0.005315046050772666,-0.057874542698166664
Hefei,MLP,2.0,0.9430666666666667,192.6,0.9426666666666665,0.9062666666666667,0.9802666666666667,0.9266501413143647,0.9253937758397633,0.9774006283543665,256.2,0.7518121658943357,0.24818783410566425,0.9203987836837768,0.5958353281021118,0.9399988293647766,0.014311111111111111,0.12259899779642291,0.30467538468894745,0.24051294368206663,0.4179869452080666,-0.005315046050772666,-0.057874542698166664
Nanjing,RF,2.0,0.9031555555555556,304.2,0.9250666666666667,0.8133333333333332,0.9710666666666666,0.8676867281645178,0.899703121706122,0.9429063479093825,435.8,0.6980382231138715,0.30196177688612846,0.7819038518518518,0.4485557072787706,0.8176643093594785,0.04546666666666667,0.1892664404723552,0.3250266255074056,0.24940728788826663,0.45601784592104,-0.02003320625547333,-0.10943319947821666
Nanjing,MLP,2.0,0.9094666666666666,283.0,0.9330666666666667,0.8269333333333334,0.9684000000000001,0.880828574514948,0.8989554212984595,0.9496815107360812,407.4,0.6946300013595573,0.3053699986404426,0.8785872459411621,0.5637251853942871,0.9099381804466248,0.023333333333333334,0.12461455239229417,0.33496499476558017,0.24940728788826663,0.45601784592104,-0.02003320625547333,-0.10943319947821666
