PointID,Original_ID,lon,lat,Class,margin,BoundaryScore,RF_Pred,prob_1,prob_2,prob_3,Method
1,8848,120.17137769173674,30.177666458060376,2,0.19999999999999996,0.37596178542326875,2,0.4,0.6,0.0,BAMS150
2,12546,118.99161994872337,29.593488547250537,3,0.16666666666666669,0.26367995763401864,3,0.4166666666666667,0.0,0.5833333333333334,BAMS150
3,9482,120.19509565024,30.317263075639552,2,0.11333333333333329,0.10225857219201098,2,0.44333333333333336,0.5566666666666666,0.0,BAMS150
4,6442,119.58504603511805,29.658528995216095,2,0.13999999999999996,0.14834172139550922,2,0.43,0.57,0.0,BAMS150
5,9118,119.95713126342179,30.230845697223767,2,0.21999999999999997,0.2819591177310398,2,0.39,0.61,0.0,BAMS150
6,6929,119.70784967812993,29.776565859201863,2,0.19666666666666666,0.19184288101965316,2,0.4,0.5966666666666667,0.0033333333333333335,BAMS150
7,8370,120.06933116412861,30.076516209764,2,0.16666666666666669,0.11268244163396306,2,0.4166666666666667,0.5833333333333334,0.0,BAMS150
8,14331,120.14389179284328,30.14568578530506,3,0.17000000000000004,0.09506071367262715,3,0.41333333333333333,0.0033333333333333335,0.5833333333333334,BAMS150
9,14733,120.16913476390684,30.308099622974716,3,0.20666666666666672,0.1890115839586302,3,0.39666666666666667,0.0,0.6033333333333334,BAMS150
10,8057,120.20533374625869,30.006802623894437,2,0.2366666666666667,0.23535506698626255,2,0.37,0.6066666666666667,0.023333333333333334,BAMS150
11,8955,120.20138298272536,30.19733555280712,2,0.18,0.08614709430498105,2,0.41,0.59,0.0,BAMS150
12,9145,119.73156317753218,30.23668266050273,2,0.19333333333333336,0.11441306478259299,2,0.4033333333333333,0.5966666666666667,0.0,BAMS150
13,14831,120.17523927324896,30.422725274654596,3,0.18,0.07532680632681103,3,0.41,0.0,0.59,BAMS150
14,9489,120.03411764310954,30.318970911343015,2,0.1866666666666667,0.06485730239316108,2,0.4066666666666667,0.5933333333333334,0.0,BAMS150
15,14931,120.27342867844587,30.49800381863887,3,0.21333333333333337,0.13350835925624555,3,0.38,0.02666666666666667,0.5933333333333334,BAMS150
16,355,119.22823768702341,29.560522413162406,1,0.22666666666666663,0.16151093498973926,1,0.6133333333333333,0.38666666666666666,0.0,BAMS150
17,14467,120.2003930622915,30.21575164015786,3,0.22666666666666663,0.1489592540099273,3,0.38333333333333336,0.006666666666666667,0.61,BAMS150
18,9895,120.07408902495261,30.44482457947548,2,0.2033333333333333,0.08494696615235725,2,0.39666666666666667,0.6,0.0033333333333333335,BAMS150
19,12591,119.05100179745212,29.598518413238825,3,0.22999999999999993,0.15460767862202057,3,0.0033333333333333335,0.38333333333333336,0.6133333333333333,BAMS150
20,9058,120.28537461016805,30.219256493585867,2,0.24,0.1752367317545158,2,0.38,0.62,0.0,BAMS150
21,9822,120.11882718582183,30.414101373217232,2,0.21333333333333337,0.10435261603719001,2,0.3933333333333333,0.6066666666666667,0.0,BAMS150
22,719,119.55082243453283,29.8532846928264,1,0.24666666666666665,0.1872885723494984,1,0.6233333333333333,0.37666666666666665,0.0,BAMS150
23,9614,119.98965148740457,30.35031839174874,2,0.21666666666666667,0.1074880958270634,2,0.39,0.6066666666666667,0.0033333333333333335,BAMS150
