Original_ID,Class,RF_Pred,prob_1,prob_2,prob_3,margin,lon,lat
0,1,1,0.8933333333333333,0.10666666666666667,0.0,0.7866666666666666,116.47201139356488,28.432891468016415
1,1,1,0.9933333333333333,0.006666666666666667,0.0,0.9866666666666666,115.96428359498051,28.426872755612816
2,1,1,0.7433333333333333,0.25,0.006666666666666667,0.4933333333333333,115.87256560447192,28.54868430813942
3,1,1,0.9666666666666667,0.023333333333333334,0.01,0.9433333333333334,115.9565580835371,28.643995559784504
4,1,1,0.97,0.023333333333333334,0.006666666666666667,0.9466666666666667,115.8550484564316,28.68612654660971
5,1,1,0.7933333333333333,0.14666666666666667,0.06,0.6466666666666667,115.74186073063254,28.637887015852492
6,1,1,1.0,0.0,0.0,1.0,115.98180074302086,28.66780091481367
7,1,1,0.97,0.023333333333333334,0.006666666666666667,0.9466666666666667,115.66954635026092,28.61219519872667
8,1,1,0.9633333333333334,0.03,0.006666666666666667,0.9333333333333333,115.79054941903182,28.581113489896136
9,1,1,0.9866666666666667,0.01,0.0033333333333333335,0.9766666666666667,115.95018004501983,28.664926305904487
10,1,1,0.8266666666666667,0.17,0.0033333333333333335,0.6566666666666666,115.84121440105616,28.790600614152808
11,1,1,0.9433333333333334,0.056666666666666664,0.0,0.8866666666666667,115.6581377461526,28.48481409143853
12,1,1,0.9266666666666666,0.056666666666666664,0.016666666666666666,0.87,116.12481253625268,28.290777990068708
13,1,1,0.9833333333333333,0.016666666666666666,0.0,0.9666666666666666,115.89017258404068,28.60644598090831
14,1,1,0.9666666666666667,0.03333333333333333,0.0,0.9333333333333333,115.9737159054638,28.354917701354843
15,1,1,0.9966666666666667,0.0033333333333333335,0.0,0.9933333333333334,116.1188836553775,28.353300733843422
16,1,1,1.0,0.0,0.0,1.0,115.59013527914476,28.42193202155016
17,1,1,0.9666666666666667,0.03333333333333333,0.0,0.9333333333333333,115.72048082687049,28.861298027013017
18,1,1,0.9233333333333333,0.07666666666666666,0.0,0.8466666666666667,116.28839574949086,28.383124801276196
19,1,1,0.8533333333333334,0.14333333333333334,0.0033333333333333335,0.7100000000000001,115.69981957533574,28.66771108328526
20,1,1,0.99,0.01,0.0,0.98,115.76988816749709,28.66762125175685
21,1,1,0.9933333333333333,0.0,0.006666666666666667,0.9866666666666666,115.9828787213618,28.71810657072437
22,1,1,1.0,0.0,0.0,1.0,115.93365104379204,28.632946281789835
