method,OA_vs_Human,BE_vs_Human,OA_vs_tri_consensus,changed_toward_Human_frac,changed_toward_DWESRI_frac,n_changed
WC_raw,0.4566666666666667,59.333333333333336,0.4257658214801072,,,0.0
LOCO_corrected,0.5222222222222223,50.166666666666664,0.4435343228200371,0.8279206539074959,0.3213554720133667,17.0
local_oracle(ceiling),0.7888888888888889,17.333333333333332,0.7552267573696145,1.0,0.4135198775552653,49.833333333333336
random_flip,0.44222222222222224,53.666666666666664,0.4158802308802309,0.2926634768740032,0.2048677658197782,17.0
