scene,n,DW=ESRI,Human=DW,gap
Urban green space,42,0.976,0.167,0.81
Mixed / complex,24,0.958,0.292,0.667
Built-up edge / urban fabric,158,0.937,0.81,0.127
Rural settlement / surfaces,40,0.875,0.225,0.65
Bare land / construction,65,0.846,0.231,0.615
Vegetation / forest edge,106,0.84,0.16,0.679
Paddy / cropland / field,18,0.833,0.333,0.5
Water / water edge,162,0.821,0.5,0.321
Road / road edge,106,0.811,0.425,0.387
