pair,shares_with,observed_agree,expected_if_cond_indep,excess,excess_boot_CI
DW=ESRI,deep semantic seg + shared point-label lineage (S2),0.87,0.615,0.255,"[0.22,0.28]"
WC=DW,WC = boosted-tree + rules (S2); DW = deep seg (S2),0.438,0.33,0.108,"[0.08,0.13]"
WC=ESRI,WC = boosted-tree + rules (S2); ESRI = deep seg (S2),0.452,0.328,0.124,"[0.10,0.15]"
