pair,shares_with,observed_agree,expected_if_cond_indep,excess,excess_boot_CI
DW=ESRI,deep semantic seg + shared point-label lineage (S2),0.874,0.617,0.258,"[0.23,0.29]"
WC=DW,WC = boosted-tree + rules (S2); DW = deep seg (S2),0.484,0.359,0.126,"[0.10,0.15]"
WC=ESRI,WC = boosted-tree + rules (S2); ESRI = deep seg (S2),0.497,0.354,0.143,"[0.12,0.17]"
