Original_ID,system:index,B11,B12,B2,B3,B4,B8,Class,MNDWI,NDBI,NDVI,lat,lon,.geo
7735,7735,2689.0,2149.0,933.0,1172.0,1494.0,2361.0,2,-0.3929034,0.064950496,0.22490272,32.44818112497385,117.36080453567274,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.36080453567274,32.44818112497385]}"
7736,7736,2061.5,1345.5,656.5,952.0,982.0,2680.0,2,-0.36817655,-0.13044395,0.46368104,32.25055176246756,117.31570910840992,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.31570910840993,32.25055176246756]}"
7737,7737,2122.5,1257.5,433.5,613.5,557.5,2300.0,2,-0.55153507,-0.04013567,0.6097988,32.08184815210991,117.8708679539958,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.8708679539958,32.08184815210991]}"
7738,7738,1454.0,904.0,562.0,728.0,694.0,1141.0,2,-0.33272228,0.12061657,0.24359673,32.08885501132605,117.2680983983516,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.2680983983516,32.08885501132605]}"
7739,7739,2027.0,1419.3333333333333,1324.0,1235.0,1117.5,2469.5,2,-0.24279583,-0.098409876,0.37691665,32.49139009014,117.239621803845,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.23962180384501,32.49139009014]}"
7740,7740,2654.0,2204.0,763.0,1042.0,1192.0,2298.0,2,-0.43614718,0.071890146,0.31690544,31.852238765488963,116.77177920387555,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.77177920387557,31.852238765488963]}"
7741,7741,1616.5,1015.0,438.5,619.5,483.5,2814.0,2,-0.4458855,-0.27028552,0.70674753,32.02058304973296,117.12697306721644,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.12697306721643,32.02058304973296]}"
7742,7742,2250.5,1489.0,870.5,1156.0,1198.5,2698.5,2,-0.32129753,-0.09052334,0.38491148,32.19431722568168,117.404911816123,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.404911816123,32.19431722568168]}"
7743,7743,2587.0,1822.0,758.0,1050.0,1070.0,3008.0,2,-0.42260104,-0.07524575,0.47523296,32.31675759890717,117.33601103383104,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.33601103383104,32.31675759890717]}"
7744,7744,797.0,550.3333333333334,514.8333333333333,727.75,825.1190476190476,1271.0,2,-0.045417283,-0.22920696,0.21271738,32.50019357992437,116.99833431853052,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.99833431853051,32.50019357992437]}"
7745,7745,1999.0,1205.0,768.5,1119.0,1128.0,3396.0,2,-0.2822322,-0.25894347,0.50132626,32.24704833285949,117.262079685948,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.26207968594801,32.24704833285949]}"
7746,7746,1538.5,884.0,556.0,804.0,649.0,2090.5,2,-0.3135539,-0.15210801,0.52619094,31.94907715311705,117.39197607603168,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.39197607603168,31.94907715311705]}"
7747,7747,2189.0,1501.0,838.0,1065.0,1054.0,2753.5,2,-0.34542102,-0.11421345,0.44635588,31.837955552471463,117.34750946946777,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.34750946946777,31.837955552471463]}"
7748,7748,2512.0,1729.5,762.5,1006.0,1048.0,2580.5,2,-0.42808414,-0.013451153,0.42235082,32.41036205151242,117.28121380149976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.28121380149975,32.41036205151242]}"
7749,7749,2298.0,1462.5,725.0,1002.5,1064.5,2876.5,2,-0.3925163,-0.11179824,0.4597818,32.0614563951604,117.66991482493826,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.66991482493826,32.0614563951604]}"
7750,7750,2044.3333333333333,1470.0,563.0,808.0,884.5,2566.0,2,-0.4334463,-0.11315162,0.4873207,32.11616379596328,117.0771165689478,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.07711656894779,32.11616379596328]}"
7751,7751,2385.5,1705.0,790.0,990.5,1102.0,2703.0,2,-0.4132109,-0.0623956,0.42076215,32.215427634858486,117.28354942123846,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.28354942123846,32.215427634858486]}"
7752,7752,1793.0,1124.5,679.5,949.5,1065.0,2425.5,2,-0.30756608,-0.14993481,0.38977224,31.68281650290402,116.93096067222154,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.93096067222154,31.68281650290402]}"
7753,7753,2643.0,1871.5,861.5,1076.0,1272.0,2362.0,2,-0.42134982,0.056143858,0.29994497,32.29798280946907,117.17305664129177,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.17305664129175,32.29798280946907]}"
7754,7754,2385.0,1674.5,820.0,1231.0,1296.0,2929.0,2,-0.31913716,-0.1023711,0.38650888,32.06549881393894,117.2973834766139,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.2973834766139,32.06549881393894]}"
7755,7755,1904.0,1274.0,692.25,883.3333333333334,1070.0,2055.0,2,-0.36618033,-0.038140945,0.3152,31.97449947565763,117.09607102144273,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.09607102144271,31.97449947565763]}"
7756,7756,1746.3333333333333,959.0,361.4,584.8,468.6666666666667,3247.0,2,-0.4982698,-0.30053404,0.74773484,31.585978115275935,116.91694695378928,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.91694695378928,31.585978115275935]}"
7757,7757,2636.5,1804.0,730.5,1036.0,1230.0,2867.0,2,-0.43580666,-0.041882437,0.39956066,32.15577949999295,117.8152622379088,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.8152622379088,32.15577949999295]}"
7758,7758,1943.0,1314.0,648.0,832.0,828.0,2010.0,2,-0.40036035,-0.016949153,0.4164905,31.645716081669885,117.4515343793688,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.45153437936881,31.645716081669885]}"
7759,7759,1180.0,775.5,668.5,984.0,789.0,710.0,2,-0.09057301,0.24867725,-0.0527018,31.768605612537435,116.77007240483574,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.77007240483574,31.768605612537435]}"
7760,7760,2253.0,1324.5,527.0,757.5,630.0,2582.5,2,-0.49676132,-0.06814187,0.6077821,32.00953377173829,117.32720754404669,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.32720754404667,32.00953377173829]}"
7761,7761,2332.5,1543.5,724.5,973.5,1036.0,2633.5,2,-0.4110708,-0.060612164,0.4353454,31.759802122753065,117.50219936139317,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.50219936139315,31.759802122753065]}"
7762,7762,2212.5,1529.0,855.5,1078.0,1146.0,2761.0,2,-0.34478042,-0.11028451,0.41336063,31.55435741727493,117.27528492062456,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.27528492062456,31.55435741727493]}"
7763,7763,2343.0,1425.0,544.5,731.5,676.0,2505.5,2,-0.52415025,-0.03351552,0.5750432,32.04834099201226,117.5409167501387,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.5409167501387,32.04834099201226]}"
7764,7764,2270.0,1591.5,674.05,976.1428571428572,1163.5,2734.5,2,-0.39858294,-0.092816465,0.4030272,32.52884983748778,116.9396743304775,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.9396743304775,32.52884983748778]}"
7765,7765,2469.0,1833.0,864.0,1183.0,1358.0,2688.5,2,-0.3521358,-0.042559378,0.32880268,31.98447077531136,117.3221769784556,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.3221769784556,31.984470775311358]}"
7766,7766,1501.0,1095.5,870.0,1088.0,1171.0,1732.5,2,-0.15952104,-0.071594246,0.19338728,31.75216644283805,117.41721873551543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.41721873551545,31.75216644283805]}"
7767,7767,1199.5,961.5,609.5,664.5,585.5,861.0,2,-0.28701717,0.16428052,0.19045973,31.999113314442504,117.31184635268822,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.31184635268822,31.999113314442504]}"
7768,7768,1949.0,1234.5,508.5,704.0,675.0,2301.0,2,-0.46928006,-0.08282353,0.546371,32.00099977653915,117.6347906973292,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.6347906973292,32.00099977653915]}"
7769,7769,1883.5,1204.0,561.0,787.5,872.5,1913.0,2,-0.41033322,-0.007770315,0.37354156,31.776780281622923,116.97902053992196,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.97902053992195,31.776780281622923]}"
7770,7770,2119.5,1346.5,882.0,1035.0,1049.0,2248.0,2,-0.34379458,-0.029421866,0.36366394,32.001359102652806,117.2004552574574,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.2004552574574,32.001359102652806]}"
7771,7771,2879.5,2102.0,877.5,1087.0,1348.0,2526.0,2,-0.45190975,0.06539635,0.30407846,32.354846166953834,117.20225188802564,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.20225188802564,32.354846166953834]}"
7772,7772,2204.0,1407.0,709.0,1044.0,886.0,3552.0,2,-0.35714287,-0.2341904,0.60072106,31.62209038969754,117.18626187596831,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.18626187596831,31.62209038969754]}"
7773,7773,2353.5,1596.0,738.5,1020.5,1159.0,2387.5,2,-0.39508003,-0.007171483,0.34639785,32.06172588974564,117.46563792932947,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.46563792932949,32.06172588974564]}"
7774,7774,2179.0,1575.0,1024.0,1238.0,1348.0,2272.0,2,-0.27538776,-0.020894181,0.2552486,32.25486367583133,117.31346332019965,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.31346332019965,32.25486367583133]}"
