B11_mean,B11_stdDev,B12_mean,B12_stdDev,B2_mean,B2_stdDev,B3_mean,B3_stdDev,B4_mean,B4_stdDev,B8_mean,B8_stdDev,Class,MNDWI_mean,MNDWI_stdDev,NDBI_mean,NDBI_stdDev,NDVI_mean,NDVI_stdDev,Original_ID
1614.166666666666,47.19934086168765,1487.9999999999998,90.9380130760631,542.6666666666664,112.43368415796635,632.9444444444443,97.77623104837222,680.8333333333331,111.56313608595508,1163.1111111111109,16.127577791844836,1,-0.43934452533721924,0.0637884521312098,0.16222253441810608,0.012640473158619348,0.2665046453475952,0.08104799594468612,0
1951.666666666666,31.49779533731069,1582.2222222222217,40.437270426009455,621.2777777777777,61.96867986290019,814.611111111111,106.61320998455064,881.9999999999997,98.32824845609956,1913.8888888888882,370.77889321578283,1,-0.41324442625045776,0.0507181861885424,0.01891215331852436,0.09474720438244356,0.3621164560317993,0.05939406652681338,1
1511.5555555555554,210.32995829891868,1069.7777777777774,105.09125957712287,701.111111111111,235.72886706008686,812.6666666666665,211.7351595219315,835.2222222222221,228.85986871046853,1569.1111111111104,160.03710989395486,1,-0.30391237139701843,0.15854399045521406,-0.020499397069215775,0.02948439293225625,0.31205061078071594,0.15917160859546128,2
1658.5555555555552,209.31003644838648,1466.833333333333,178.315419661029,801.0555555555553,248.21064580585178,971.333333333333,321.20649294668857,1096.5,381.00816555845915,1669.7222222222215,512.5854460537997,1,-0.2806107997894287,0.12650031211582982,0.019695525988936424,0.13285194568599767,0.21233023703098297,0.03624443495396875,3
2185.1111111111104,315.2781644637862,1665.6666666666663,358.584563093406,617.9999999999998,162.2542586326918,863.5555555555552,176.29023487868017,904.1111111111109,281.91781483437273,3022.8888888888882,499.92253720939334,1,-0.4353032410144806,0.06930534536635083,-0.15719018876552582,0.10856243178455051,0.5364676117897034,0.1363764112992462,4
2115.666666666666,54.21151989096864,1666.333333333333,32.05550741379015,683.9999999999998,152.05189172706065,903.9999999999998,156.8856625415819,968.7777777777775,194.74757324277667,2296.8888888888887,314.91107896407976,1,-0.40468981862068176,0.07163033128334238,-0.03626064956188202,0.06831578710316272,0.409140944480896,0.05499293015210223,5
1940.1111111111106,72.05506296413417,1649.8888888888882,110.88026018532487,590.6666666666664,96.09254798254534,725.7222222222222,124.55322626427447,850.6666666666663,143.31201391834995,1408.6666666666667,206.5999892438418,1,-0.45870906114578247,0.06036072422617313,0.16277378797531128,0.06283949581949715,0.2482564002275467,0.03140743919296248,6
2229.3333333333326,29.066972475455522,2002.7777777777774,63.62001393303163,639.2222222222221,142.69219224749145,770.6666666666663,176.9639009013483,1047.333333333333,174.42540589668187,1701.8888888888882,220.66991157958785,1,-0.49139976501464844,0.08471801482697387,0.13771672546863556,0.06153628956686882,0.2402324229478836,0.046886096722505585,7
1517.888888888889,141.678387314716,1090.4444444444441,62.389655679466976,770.222222222222,101.15200638179044,866.5555555555553,78.57779034690685,869.3333333333329,92.49864863877742,1651.555555555555,317.0555896267726,1,-0.27105003595352173,0.08045019518895155,-0.0360012911260128,0.05523253398712457,0.29951292276382446,0.1196517192919844,8
1821.1111111111109,227.99631792565035,1511.444444444444,203.34924042210508,658.9999999999999,126.85424707119584,885.8888888888887,173.78942842445502,936.4444444444441,231.01857121650104,1920.9999999999995,473.41548582848685,1,-0.348292738199234,0.06438214217345173,-0.01350340060889721,0.08005884567924222,0.3398350775241852,0.07761236544356147,9
