Original_ID,lon,lat,Class,margin,Human_Class,Conf,WC_local,WC_bams,City,DW_raw,ESRI_raw,WC_ee_raw,WC_C3,DW_C3,ESRI_C3,WC_ee_C3
9847,114.37103160706614,30.860139365707365,2,0.36,1.0,high,2,2,Wuhan,6,7,10,2.0,1,1,2
5089,114.28299670922245,30.4673060919619,2,0.5433333333333333,1.0,high,2,2,Wuhan,6,7,60,2.0,1,1,2
9948,114.7681767941754,30.681105129582345,2,0.5266666666666667,2.0,low,2,2,Wuhan,0,1,10,2.0,3,3,2
5474,114.31021566233126,30.706527452122923,2,0.3533333333333333,1.0,high,2,2,Wuhan,6,7,60,2.0,1,1,2
9953,113.93669616719436,30.35977775245279,2,0.4933333333333333,2.0,med,2,2,Wuhan,4,5,40,2.0,2,2,2
6412,114.47703281059223,30.35097426266842,2,0.2699999999999999,1.0,high,2,2,Wuhan,6,7,60,2.0,1,1,2
9192,114.6637925581607,30.60358052056283,2,0.3,1.0,high,2,2,Wuhan,6,7,60,2.0,1,1,2
4001,114.4013946636694,30.4523042267171,1,0.3433333333333334,2.0,high,1,1,Wuhan,6,7,50,1.0,1,1,1
12096,114.5224875639687,30.99030525037628,3,0.3133333333333333,3.0,med,3,3,Wuhan,0,1,80,3.0,3,3,3
9912,114.61995477229569,30.746143156152595,2,0.56,1.0,low,2,2,Wuhan,6,7,10,2.0,1,1,2
1409,113.90148220805688,30.458502602177525,1,0.4733333333333334,2.0,med,1,1,Wuhan,6,7,50,1.0,1,1,1
7604,114.51009081304784,30.49012330017853,2,0.5166666666666667,1.0,high,2,2,Wuhan,6,7,60,2.0,1,1,2
9476,114.43633912822165,31.16188346964311,2,0.5433333333333333,3.0,high,2,2,Wuhan,0,1,30,2.0,3,3,2
5282,114.06272980155632,30.4154733000682,2,0.3366666666666666,1.0,high,2,2,Wuhan,6,7,60,2.0,1,1,2
4708,114.4263678285679,30.483745261661284,1,0.5066666666666666,2.0,low,1,1,Wuhan,6,7,50,1.0,1,1,1
7342,114.28362552992132,30.71182751229923,2,0.2233333333333333,1.0,high,2,2,Wuhan,6,7,60,2.0,1,1,2
14813,114.28784761175667,30.56962420282311,3,0.2433333333333333,2.0,med,3,3,Wuhan,0,1,80,3.0,3,3,3
5800,114.59803587936317,30.75449748829491,2,0.45,2.0,high,2,2,Wuhan,4,5,40,2.0,2,2,2
9546,113.98340856196856,30.693771375088428,2,0.2266666666666666,1.0,high,2,2,Wuhan,6,7,30,2.0,1,1,2
6321,114.91325471256069,31.000635876143654,2,0.5266666666666666,2.0,med,2,2,Wuhan,6,7,30,2.0,1,1,2
7863,114.0616518232154,30.410263071420307,2,0.3133333333333333,1.0,high,2,2,Wuhan,6,7,60,2.0,1,1,2
8554,114.66630784095624,30.711468186185584,2,0.4566666666666666,2.0,high,2,2,Wuhan,0,1,30,2.0,3,3,2
6530,114.24616578257351,30.46568912445048,2,0.3566666666666666,1.0,high,2,2,Wuhan,6,7,10,2.0,1,1,2
11090,114.80599586763682,30.670055851587673,3,0.43,3.0,med,3,3,Wuhan,0,5,80,3.0,3,2,3
6553,114.09884207597791,30.4259835888924,2,0.2866666666666666,1.0,med,2,2,Wuhan,6,7,30,2.0,1,1,2
6212,114.05446530094244,30.44071595955196,2,0.2133333333333333,1.0,high,2,2,Wuhan,6,7,60,2.0,1,1,2
9165,114.06802986173264,30.263208859409943,2,0.2766666666666667,1.0,high,2,2,Wuhan,7,5,60,2.0,2,2,2
6773,114.25460994624426,30.38969165141397,2,0.2866666666666667,1.0,high,2,2,Wuhan,6,7,60,2.0,1,1,2
3996,114.38055374907782,30.99434766915482,1,0.4666666666666666,1.0,high,1,1,Wuhan,6,7,50,1.0,1,1,1
7889,114.0633586222552,30.6123840103472,2,0.3433333333333334,1.0,high,2,2,Wuhan,6,7,60,2.0,1,1,2
11040,114.38863858663488,30.274797126575084,3,0.36,3.0,med,3,3,Wuhan,0,1,80,3.0,3,3,3
2351,114.57899159533982,30.66763040032055,1,0.5266666666666666,2.0,med,1,1,Wuhan,6,7,50,1.0,1,1,1
1217,114.55249129445828,30.667360905735315,1,0.54,2.0,med,1,1,Wuhan,7,7,50,1.0,2,1,1
2484,114.70924731153714,30.803096345165773,1,0.4833333333333333,2.0,high,1,1,Wuhan,6,7,50,1.0,1,1,1
9041,114.22119261767502,30.48877582725235,2,0.3133333333333333,1.0,med,2,2,Wuhan,6,7,30,2.0,1,1,2
5586,114.1760073588838,30.373072818657757,2,0.4733333333333334,2.0,med,2,2,Wuhan,7,7,30,2.0,2,1,2
5765,114.45610206447226,30.95482179665356,2,0.29,1.0,high,2,2,Wuhan,0,1,30,2.0,3,3,2
5265,114.43795609573306,31.324927693710805,2,0.4633333333333333,3.0,high,2,2,Wuhan,6,7,30,2.0,1,1,2
13936,114.63639394199504,30.841364576269264,3,0.49,2.0,low,3,3,Wuhan,4,5,80,3.0,2,2,3
1148,114.82063840676796,30.817828715825335,1,0.26,1.0,med,1,1,Wuhan,6,7,50,1.0,1,1,1
5418,114.11932366445586,30.65756926913841,2,0.37,1.0,high,2,2,Wuhan,6,7,60,2.0,1,1,2
6636,114.2211027861466,30.97036265106883,2,0.3966666666666666,2.0,med,2,2,Wuhan,6,7,60,2.0,1,1,2
9666,114.41567787668689,30.752880520783492,2,0.2433333333333333,2.0,high,2,2,Wuhan,6,7,30,2.0,1,1,2
8241,114.55842017533348,30.518420231628298,2,0.4066666666666667,2.0,high,2,2,Wuhan,6,5,10,2.0,1,2,2
9684,114.04431433823189,30.63591987079113,2,0.4933333333333333,1.0,high,2,2,Wuhan,6,7,60,2.0,1,1,2
8894,114.31470723875184,31.249469209844765,2,0.5533333333333332,3.0,high,2,2,Wuhan,6,7,30,2.0,1,1,2
7984,114.57764412241364,30.820613493206103,2,0.5133333333333333,2.0,high,2,2,Wuhan,0,1,10,2.0,3,3,2
7445,114.28039159489848,30.87550055706581,2,0.51,3.0,high,2,2,Wuhan,0,1,10,2.0,3,3,2
3173,114.189571919674,30.648496284768804,1,0.5,1.0,high,1,1,Wuhan,6,7,50,1.0,1,1,1
9637,114.1654970700596,30.4214920124718,2,0.3466666666666667,2.0,high,2,2,Wuhan,6,7,30,2.0,1,1,2
4587,114.40687438690252,30.816481242899155,1,0.5166666666666666,2.0,high,1,1,Wuhan,6,1,50,1.0,1,3,1
8367,114.59174767237432,30.682542434036932,2,0.4833333333333334,2.0,med,2,2,Wuhan,6,7,60,2.0,1,1,2
10636,114.1142930988648,30.59549568300575,3,0.41,2.0,med,3,3,Wuhan,7,1,80,3.0,2,3,3
5450,114.21975531322042,30.722607295708663,2,0.41,1.0,high,2,2,Wuhan,6,7,10,2.0,1,1,2
7582,114.11123882689878,30.748748270476543,2,0.2733333333333334,2.0,med,2,2,Wuhan,6,7,10,2.0,1,1,2
4596,114.3413872026902,30.505035333894917,1,0.4266666666666666,1.0,med,1,1,Wuhan,6,7,50,1.0,1,1,1
10175,114.02985146215757,30.72817685047021,3,0.3066666666666667,3.0,med,3,3,Wuhan,0,1,80,3.0,3,3,3
5054,114.25209466344872,30.638704648171903,2,0.24,1.0,high,2,2,Wuhan,6,7,60,2.0,1,1,2
7452,114.08033678112508,30.33489441908268,2,0.52,1.0,high,2,2,Wuhan,6,7,30,2.0,1,1,2
1804,114.18031927224756,30.548693456703127,1,0.56,2.0,high,1,1,Wuhan,6,7,50,1.0,1,1,1
9869,114.72290170385575,30.92293160406732,2,0.44,2.0,med,2,2,Wuhan,6,7,60,2.0,1,1,2
3934,114.1504053732864,30.521564335122715,1,0.4399999999999999,2.0,high,1,1,Wuhan,6,7,50,1.0,1,1,1
10479,114.32467853840558,30.470989184626788,3,0.3999999999999999,3.0,med,3,3,Wuhan,0,1,80,3.0,3,3,3
5286,114.00182402529302,30.596214335233046,2,0.5466666666666667,3.0,med,2,2,Wuhan,6,7,30,2.0,1,1,2
8465,114.41927113782336,30.775158739829656,2,0.5,2.0,med,2,2,Wuhan,6,7,40,2.0,1,1,2
14403,114.5592286590892,30.75916872777233,3,0.3,2.0,med,3,3,Wuhan,0,1,80,3.0,3,3,3
2697,114.2633236045002,30.32330615191754,1,0.36,2.0,high,1,1,Wuhan,6,7,50,1.0,1,1,1
2501,114.43418317153974,30.612294178818782,1,0.4600000000000001,2.0,high,1,1,Wuhan,6,7,50,1.0,1,1,1
7809,113.86231566166926,30.3974171628574,2,0.47,2.0,med,2,2,Wuhan,0,1,30,2.0,3,3,2
1871,115.01296770909796,30.94664712756807,1,0.54,2.0,high,1,1,Wuhan,6,7,50,1.0,1,1,1
8722,114.4457714387049,30.42867853474476,2,0.4966666666666667,2.0,med,2,2,Wuhan,6,7,10,2.0,1,1,2
6186,114.40489809327744,30.797616621932644,2,0.4566666666666666,1.0,high,2,2,Wuhan,6,7,60,2.0,1,1,2
4549,114.34480080076986,30.35528617603219,1,0.4066666666666667,2.0,high,1,1,Wuhan,6,7,50,1.0,1,1,1
7668,114.2880272748135,31.368675648047425,2,0.4066666666666667,2.0,med,2,2,Wuhan,7,8,60,2.0,2,2,2
7159,114.20259749129372,30.549771435044068,2,0.2233333333333333,1.0,high,2,2,Wuhan,6,7,10,2.0,1,1,2
9537,114.49050753985404,31.150564697063203,2,0.5133333333333334,2.0,med,2,2,Wuhan,0,1,10,2.0,3,3,2
9488,114.17879213626456,30.59486686230687,2,0.4666666666666667,1.0,high,2,2,Wuhan,8,7,10,2.0,2,1,2
2961,114.40741337607298,30.41134104976125,1,0.54,1.0,med,1,1,Wuhan,6,7,50,1.0,1,1,1
2025,114.1488782373034,30.21110657293101,1,0.5266666666666667,2.0,high,1,1,Wuhan,0,5,50,1.0,3,2,1
6382,114.39816072864656,30.48185879956463,2,0.4133333333333333,2.0,med,2,2,Wuhan,6,7,10,2.0,1,1,2
2695,114.39977769615795,30.080132204506384,1,0.54,2.0,high,1,1,Wuhan,6,7,50,1.0,1,1,1
13903,114.05518395316972,30.590285454357858,3,0.3266666666666667,3.0,med,3,3,Wuhan,0,1,80,3.0,3,3,3
865,114.15363930830922,30.523810123333018,1,0.5466666666666666,2.0,high,1,1,Wuhan,6,7,50,1.0,1,1,1
6614,114.26799484397765,30.483745261661284,2,0.3999999999999999,2.0,med,2,2,Wuhan,6,7,30,2.0,1,1,2
9548,114.50254496466124,30.768151880613523,2,0.3433333333333334,2.0,med,2,2,Wuhan,0,1,30,2.0,3,3,2
2602,114.051321197448,30.63771650135937,1,0.3133333333333333,2.0,high,1,1,Wuhan,6,7,50,1.0,1,1,1
6224,114.58770525359576,30.845586658104622,2,0.5566666666666666,2.0,med,2,2,Wuhan,4,5,30,2.0,2,2,2
6076,114.36411457937842,31.18074809060962,2,0.54,2.0,med,2,2,Wuhan,6,7,10,2.0,1,1,2
1793,114.0369481529021,30.374779617697587,1,0.34,2.0,high,1,1,Wuhan,3,1,50,1.0,3,3,1
11166,114.79952799759116,30.71488178426524,3,0.4299999999999999,3.0,med,3,3,Wuhan,0,1,80,3.0,3,3,3
7768,114.43328485625564,30.94098774127812,2,0.3666666666666667,2.0,med,2,2,Wuhan,6,7,30,2.0,1,1,2
442,114.25999983794895,30.615438282313207,1,0.52,1.0,med,1,1,Wuhan,6,7,50,1.0,1,1,1
3595,113.90893822491506,30.466317945149367,1,0.3266666666666666,1.0,med,1,1,Wuhan,6,5,50,1.0,1,2,1
3828,114.39142336401568,30.52129484053748,1,0.4733333333333334,2.0,high,1,1,Wuhan,6,7,50,1.0,1,1,1
194,114.51009081304784,30.51437781284976,1,0.4466666666666667,2.0,high,1,1,Wuhan,6,7,50,1.0,1,1,1
2183,114.77230904448234,30.96766770521647,1,0.5533333333333332,1.0,med,1,1,Wuhan,6,7,50,1.0,1,1,1
7451,114.51781632449128,30.85070705522411,2,0.55,2.0,med,2,2,Wuhan,4,5,10,2.0,2,2,2
12076,114.39672342419196,30.1982606643681,3,0.5066666666666666,3.0,med,3,3,Wuhan,0,1,80,3.0,3,3,3
3950,114.05787889902209,30.60825176004025,1,0.5066666666666666,2.0,high,1,1,Wuhan,6,7,50,1.0,1,1,1
11211,114.6601094654958,30.701317223475034,3,0.5566666666666668,3.0,med,3,3,Wuhan,0,1,80,3.0,3,3,3
8213,114.90229526609444,31.00584610479155,2,0.3866666666666667,1.0,high,2,2,Wuhan,6,7,10,2.0,1,1,2
6621,114.74913251015204,30.899755069737033,2,0.4133333333333333,1.0,high,2,2,Wuhan,6,7,10,2.0,1,1,2
236,113.98781030686077,30.544471374867765,1,0.5466666666666666,2.0,high,1,1,Wuhan,6,7,50,1.0,1,1,1
5045,114.02544971726536,30.447004166540797,2,0.4866666666666666,2.0,med,2,2,Wuhan,6,5,60,2.0,1,2,2
11100,114.45771903198369,30.52875085739567,3,0.4866666666666666,3.0,med,3,3,Wuhan,0,1,80,3.0,3,3,3
7271,114.3555805841793,30.716229257191415,2,0.3333333333333333,1.0,high,2,2,Wuhan,6,7,60,2.0,1,1,2
7119,114.27760681751772,30.79519117066552,2,0.4833333333333333,1.0,high,2,2,Wuhan,6,7,40,2.0,1,1,2
1326,114.1549867812354,30.42095302330133,1,0.56,2.0,high,1,1,Wuhan,6,7,50,1.0,1,1,1
6347,114.18400236491246,30.763031483494043,2,0.4933333333333333,2.0,med,2,2,Wuhan,3,1,30,2.0,3,3,2
13501,114.50164664937712,31.07268076193004,3,0.4499999999999999,3.0,med,3,3,Wuhan,0,1,80,3.0,3,3,3
1627,114.46256993451792,30.505304828480153,1,0.2833333333333333,2.0,high,1,1,Wuhan,6,7,50,1.0,1,1,1
378,114.37722998252656,30.92993846328345,1,0.56,1.0,med,1,1,Wuhan,6,7,50,1.0,1,1,1
4440,114.77410567505058,30.912511146771532,1,0.5066666666666666,1.0,med,1,1,Wuhan,6,7,50,1.0,1,1,1
2208,114.83860471245036,30.866247909639377,1,0.5466666666666666,2.0,high,1,1,Wuhan,6,7,50,1.0,1,1,1
4374,114.27473220860854,30.334804587554267,1,0.4266666666666667,2.0,high,1,1,Wuhan,6,7,50,1.0,1,1,1
7214,114.49877204046794,30.385379738050197,2,0.32,1.0,high,2,2,Wuhan,6,7,10,2.0,1,1,2
9225,114.09381151038686,30.516443938003235,2,0.3533333333333333,1.0,high,2,2,Wuhan,6,7,30,2.0,1,1,2
7484,114.40687438690252,30.36849141070875,2,0.42,2.0,med,2,2,Wuhan,6,7,60,2.0,1,1,2
5907,114.60243762425532,30.72323611640755,2,0.4933333333333333,1.0,high,2,2,Wuhan,6,7,60,2.0,1,1,2
11768,114.38890808122012,30.658198089837295,3,0.55,2.0,med,3,3,Wuhan,0,8,80,3.0,3,2,3
13807,114.40813202830029,30.57959550247684,3,0.4433333333333333,3.0,med,3,3,Wuhan,0,1,80,3.0,3,3,3
7793,114.71131343669062,30.853402001076468,2,0.31,1.0,high,2,2,Wuhan,6,7,60,2.0,1,1,2
8123,114.42313389354509,30.449160123222683,2,0.27,1.0,high,2,2,Wuhan,6,7,30,2.0,1,1,2
4607,114.27042029524476,30.47988250593957,1,0.3799999999999999,2.0,high,1,1,Wuhan,6,7,50,1.0,1,1,1
6580,113.989606937429,30.68658485281547,2,0.3266666666666666,1.0,high,2,2,Wuhan,6,7,60,2.0,1,1,2
7877,114.54009454353744,30.91619423943642,2,0.5033333333333333,2.0,med,2,2,Wuhan,4,5,30,2.0,2,2,2
1158,114.7485935209816,30.741382085146764,1,0.32,2.0,high,1,1,Wuhan,6,1,50,1.0,1,3,1
8387,114.22954694981732,30.587051519335027,2,0.3633333333333334,1.0,high,2,2,Wuhan,6,7,10,2.0,1,1,2
