system:index,B11,B12,B2,B3,B4,B8,Class,MNDWI,NDBI,NDVI,lat,lon,.geo,Margin,Original_ID
10070,2036.0,1477.0,1327.0,1842.0,1831.0,2350.0,3,-0.050025787,-0.07159143,0.12413298,32.34424604660123,117.1388308289668,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.1388308289668,32.34424604660123]}",0.23000000000000004,10070
5808,567.5,446.0,793.0,1040.0,998.5,1008.0,2,0.29393467,-0.27959377,0.0047346125,32.21165471066519,117.32038034788737,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.32038034788737,32.21165471066519]}",0.23333333333333328,5808
8144,479.5,301.0,757.5,1076.0,910.5,769.0,2,0.383478,-0.23187825,-0.08425126,32.11688244819057,117.49258738785308,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.49258738785308,32.11688244819057]}",0.23333333333333334,8144
2222,2446.5,1791.0,567.0,741.0,743.0,2510.0,1,-0.5350588,-0.01281146,0.5431909,31.92634977642882,117.63245507759048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.63245507759048,31.92634977642882]}",0.23333333333333334,2222
7324,2754.0,2433.0,1444.0,1248.0,1308.0,2232.0,2,-0.37631184,0.10469314,0.26101694,31.696740389807875,117.24465236943608,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.24465236943608,31.696740389807875]}",0.23333333333333334,7324
6028,2375.0,1989.0,1118.0,1304.0,1440.0,2110.5,2,-0.2911117,0.058967784,0.18884665,32.44485735842261,117.21743341632728,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.21743341632727,32.44485735842261]}",0.23333333333333334,6028
5624,2097.0,1588.3333333333333,998.5,873.5,852.0,1555.0,2,-0.41188353,0.14841183,0.29206482,31.860233771517628,117.0854709010901,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.0854709010901,31.860233771517628]}",0.23666666666666664,5624
7643,1813.0,1832.0,1126.0,1234.0,1371.0,1612.0,2,-0.19002298,0.05868613,0.08079115,32.174374626374224,117.2318962924016,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.23189629240159,32.174374626374224]}",0.24,7643
8767,3136.5,2929.5,1776.0,1688.0,1731.0,2674.0,2,-0.30023837,0.07959728,0.21407491,31.721084734007512,117.1433224053874,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.14332240538741,31.721084734007512]}",0.24,8767
3264,2227.5,1571.0,758.0,1035.5,925.0,3201.0,1,-0.365308,-0.1793313,0.5516238,32.19234093205662,117.6453908176818,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.6453908176818,32.19234093205662]}",0.24,3264
9140,2475.0,2188.0,1211.0,1405.0,1461.0,2064.5,2,-0.2757732,0.090428464,0.1711814,32.0223796803012,117.36035537803068,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.36035537803068,32.0223796803012]}",0.24666666666666665,9140
5623,1508.0,1029.0,1024.0,1150.0,1186.0,1996.0,2,-0.13468774,-0.13926941,0.2545569,31.76644965585555,117.20836043195766,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.20836043195766,31.76644965585555]}",0.2466666666666667,5623
8070,1432.0,1141.0,932.0,996.0,1090.0,1560.0,2,-0.17957166,-0.04278075,0.1773585,31.62307853651007,117.2035095294234,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.20350952942341,31.62307853651007]}",0.25333333333333335,8070
5229,351.0,288.5,718.0,1014.0,821.5,481.5,2,0.4857143,-0.15675676,-0.2609363,32.367512412459924,117.38173528179271,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.38173528179273,32.367512412459924]}",0.25333333333333335,5229
7013,1831.0,1764.0,1374.0,1606.0,1678.0,1672.0,2,-0.065464064,0.045389667,-0.0017910447,31.698986178018178,117.17808720688282,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.17808720688282,31.698986178018174]}",0.25666666666666665,7013
4380,2566.5,1848.5,659.5,860.0,953.5,2781.0,1,-0.49803007,-0.0401122,0.489356,32.23087865774534,117.5731662688386,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.57316626883859,32.23087865774534]}",0.26,4380
9343,373.5,263.5,515.0,678.0,508.5,372.0,2,0.2895863,0.0020120724,-0.15502556,32.20976824856853,117.71069833883728,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.71069833883729,32.20976824856853]}",0.26,9343
8713,2665.0,2308.0,2248.0,2656.0,2880.0,3396.0,2,-0.0016914114,-0.12060716,0.08221798,31.821606214300488,116.99159695389962,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.99159695389962,31.821606214300488]}",0.26,8713
241,2226.0,1498.0,656.0,915.0,885.0,3156.0,1,-0.417383,-0.17279822,0.5619896,32.54879243679524,117.12041536564236,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.12041536564236,32.54879243679524]}",0.26,241
7327,357.0,236.5,521.5,641.0,452.0,411.0,2,0.28456914,-0.0703125,-0.04750869,31.99489123260714,117.1650616352631,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.1650616352631,31.99489123260714]}",0.26,7327
4104,2107.5,1378.5,641.0,896.0,843.5,2712.0,1,-0.40336275,-0.12542795,0.52552384,31.90874279686008,117.32496175583636,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.32496175583637,31.908742796860082]}",0.26,4104
8669,313.0,196.0,436.0,617.0,476.0,416.0,2,0.3268817,-0.14128944,-0.06726457,31.646344902368767,117.49716879580208,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.49716879580208,31.646344902368767]}",0.26666666666666666,8669
8112,710.0,488.0,1054.0,1379.0,1142.0,730.5,2,0.32024893,-0.01423117,-0.21975967,31.933266804116546,117.62383125086292,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.62383125086293,31.933266804116542]}",0.26666666666666666,8112
8328,2133.0,1743.0,1055.0,1035.0,1055.0,1799.0,2,-0.3465909,0.08494405,0.26068676,32.04861048659749,117.10855760389198,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.10855760389198,32.04861048659749]}",0.26666666666666666,8328
46,2301.0,1687.0,622.6666666666666,879.3333333333334,978.75,2552.0,1,-0.44701815,-0.051720586,0.44558522,31.574300016582384,116.91263504042551,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.91263504042551,31.574300016582384]}",0.26666666666666666,46
14493,1410.5,854.0,624.5,812.0,702.5,2420.5,3,-0.26929134,-0.26363873,0.55011207,31.8156773334253,117.36529611209332,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.36529611209333,31.8156773334253]}",0.2666666666666667,14493
5854,1524.5,1279.0,1088.0,1158.0,1244.0,1395.0,2,-0.13662629,0.04435691,0.057218645,31.99650820011856,117.25435417450456,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.25435417450457,31.99650820011856]}",0.26999999999999996,5854
9637,1809.0,1504.0,1036.0,1278.0,1334.0,1532.0,2,-0.17201166,0.08290931,0.06908584,31.714257537848205,117.20243155108248,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.20243155108247,31.714257537848205]}",0.26999999999999996,9637
1487,2191.5,1416.0,609.0,758.0,747.5,2364.0,1,-0.48601457,-0.037866317,0.51952434,32.23393292971135,117.57657986691824,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.57657986691825,32.23393292971135]}",0.2733333333333334,1487
9364,3199.0,2786.0,1639.0,1942.0,2120.0,3000.5,2,-0.24450496,0.03201871,0.17195587,32.165121978947795,117.23989129843024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.23989129843025,32.165121978947795]}",0.2733333333333334,9364
1887,2280.5,1663.0,551.0,765.0,717.5,2241.5,1,-0.49761945,0.008624502,0.51503885,31.6473330491813,116.86421584661149,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.86421584661147,31.6473330491813]}",0.2733333333333334,1887
6943,4051.6,3816.5,2515.5,1528.0,1576.0,3333.5714285714284,2,-0.45229048,0.09722572,0.35798877,32.52363960883989,116.99860381311576,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.99860381311575,32.52363960883989]}",0.2733333333333334,6943
5428,447.0,342.0,808.0,1054.0,769.5,496.5,2,0.40439707,-0.052464228,-0.21563981,31.89005783895039,117.16560062443357,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.16560062443357,31.890057838950394]}",0.2733333333333334,5428
9706,177.0,149.0,514.0,745.0,559.0,475.0,2,0.61605203,-0.4570552,-0.08123791,32.62874249708188,117.15580898783666,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.15580898783666,32.62874249708188]}",0.2733333333333334,9706
4988,2403.125,1954.6666666666667,702.8333333333333,1046.0,1362.6666666666667,2794.5,1,-0.39346936,-0.075298816,0.3444253,32.62245429009304,117.0719063402999,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.0719063402999,32.62245429009304]}",0.28,4988
2709,1725.5,1207.5,444.5,585.0,594.0,1896.5,1,-0.4936161,-0.047211487,0.52298737,32.07978202695644,117.5378624781727,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.5378624781727,32.07978202695644]}",0.28,2709
7968,2473.2,2074.3333333333335,1336.0,1495.5,1606.4,2444.5384615384614,2,-0.24635272,0.005828195,0.20689982,32.50252919966309,117.07549960143638,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.07549960143638,32.50252919966309]}",0.28,7968
7123,2188.5,1595.5,746.0,919.5,985.5,1722.5,2,-0.40830114,0.119151115,0.27215657,31.982584313214705,117.55609827844032,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.55609827844032,31.982584313214705]}",0.28,7123
9527,1658.5,1317.0,1066.0,1136.0,1174.0,1500.0,2,-0.18697442,0.05018205,0.12191474,32.37883118503983,117.22776404209463,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.22776404209463,32.37883118503983]}",0.28,9527
8602,1550.0,1133.0,945.0,1059.3333333333333,1059.0,2240.0,2,-0.18804292,-0.18205805,0.35798725,32.44611499982038,117.00965309111042,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.00965309111042,32.44611499982038]}",0.28,8602
6325,2262.5,1891.0,1279.0,1524.0,1651.0,2304.0,2,-0.195035,-0.009087923,0.16510746,31.842357297363648,117.48593985475058,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.48593985475058,31.842357297363648]}",0.28,6325
1346,2423.0,1708.5,615.5,850.5,832.0,2478.0,1,-0.4803727,-0.0112222,0.49728096,32.08274646739403,117.87266458456403,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.87266458456403,32.08274646739403]}",0.28,1346
7413,2302.5,2025.0,1207.0,1259.0,1358.0,2349.0,2,-0.29299453,-0.009996776,0.26733208,31.80885013726599,116.92422330759064,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.92422330759065,31.80885013726599]}",0.28,7413
8032,2232.0,1767.5,762.0,849.0,973.0,1570.0,2,-0.44888023,0.17411889,0.23476209,32.26169087199064,117.19973660523011,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.19973660523011,32.26169087199064]}",0.28,8032
3468,2419.0,1616.0,708.0,858.0,778.0,2556.0,1,-0.4763503,-0.027537689,0.53329337,31.63727191799916,117.46932102199438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.46932102199438,31.63727191799916]}",0.28,3468
