City,A_n,A_agree,A_kappa,B_n,B_agree,B_kappa,C_n,C_agree,C_kappa,fleiss_n,fleiss_kappa
Wuhan,20,1.0,1.0,20,0.95,0.9029126213592233,20,1.0,1.0,20,0.9339207048458149
Hefei,20,1.0,1.0,20,0.9,0.8113207547169812,20,1.0,1.0,20,0.8728813559322032
Nanchang,20,0.95,0.8952879581151832,20,1.0,1.0,20,0.95,0.8952879581151832,20,0.8569725864123955
Nanjing,20,1.0,1.0,20,0.95,0.8974358974358975,19,0.9473684210526315,0.9005235602094241,19,0.8592592592592591
Changsha,20,0.9,0.8222222222222222,19,0.9473684210526315,0.9112149532710281,20,0.95,0.9134199134199135,19,0.937224669603524
Hangzhou,20,1.0,1.0,18,0.9444444444444444,0.8604651162790697,20,0.95,0.8969072164948454,18,0.8081705150976907
