Method,Mean_OA,Std_OA,Mean_BE,Std_BE,Mean_n_seed,Mean_n_exp,dOA_vs_Base_pp
Baseline,0.9031555555555556,0.0019461896929610127,304.2,5.932958789676533,,,0.0
BAMS150_old,0.9004444444444445,0.0015475986974649535,315.4,6.804410334481604,,,-0.27111111111111086
BAMS150_new,0.9010222222222222,0.0004036867138797036,314.8,3.5637059362410857,,,-0.21333333333334314
BAMS150_new_high,0.9024000000000001,0.0005067446333773727,309.0,2.9154759474226544,,,-0.07555555555555094
BAMS150_new_hm,0.9007111111111111,0.0005752079602464065,315.4,4.159326868617088,,,-0.24444444444444713
PE_old,0.906711111111111,0.0022188863851318494,286.2,7.463243262818117,150.0,19.8,0.3555555555555423
PE_new,0.9052888888888889,0.0015587269259333208,294.4,8.876936408468856,150.0,15.0,0.21333333333333204
PE_new_high,0.9064888888888889,0.0006740333728045343,289.8,5.40370243444252,73.0,16.6,0.33333333333332993
PE_new_hm,0.9048444444444443,0.0028605447120055127,294.4,10.830512453249844,133.0,21.4,0.168888888888874
