quantity,full150,testblock_only
Human_OA B0 (mean),0.37466666666666665,0.3683366698698422
Human_OA B2 (mean),0.3893333333333333,0.38938888378093495
B2-B0 paired gain (mean),0.014666666666666663,0.021052213911092653
B2-B0 paired gain (std),0.012912911949640051,0.03534461429778823
n expert points per city-seed (mean),150.0,50.166666666666664
