Method,OA,AA,Kappa,Class3 Recall,Class3 Precision,Class3 F1
Baseline,0.9282222222222222,0.9282222222222222,0.8923333333333333,0.9653333333333334,0.9763991908293999,0.9708347301374455
Margin150,0.9284444444444444,0.9284444444444443,0.8926666666666667,0.9653333333333334,0.9763991908293999,0.9708347301374455
BAMS150,0.9302222222222222,0.9302222222222222,0.8953333333333333,0.9693333333333334,0.9751844399731724,0.9722500835840856
BAMS150+TeacherStudent,0.9417777777777778,0.9417777777777778,0.9126666666666666,0.9713333333333334,0.97719651240778,0.974256101638248
BAMS150+PrototypeExpansion,0.9357777777777778,0.9357777777777777,0.9036666666666666,0.9786666666666667,0.9754152823920266,0.9770382695507488
