PointID,Original_ID,Class,margin,BoundaryScore,lon,lat
1,9847,2,0.36,2675.152650668758,114.37103160706614,30.860139365707365
2,5089,2,0.5433333333333333,2646.7265333479545,114.28299670922245,30.4673060919619
3,9948,2,0.5266666666666667,2432.4246376413953,114.7681767941754,30.681105129582345
4,5474,2,0.3533333333333333,2163.360178876047,114.31021566233126,30.706527452122923
5,9953,2,0.4933333333333333,2025.7491804330407,113.93669616719436,30.35977775245279
6,6412,2,0.2699999999999999,1960.9144490272997,114.47703281059223,30.35097426266842
7,9192,2,0.3,1948.0531041270356,114.6637925581607,30.60358052056283
8,4001,1,0.3433333333333334,1876.5436966806856,114.4013946636694,30.4523042267171
9,12096,3,0.3133333333333333,1779.4837233172916,114.5224875639687,30.99030525037628
10,9912,2,0.56,1747.416477858841,114.61995477229569,30.746143156152595
11,1409,1,0.4733333333333334,1722.0452852095113,113.90148220805688,30.458502602177525
12,7604,2,0.5166666666666667,1703.2630454197215,114.51009081304784,30.49012330017853
13,9476,2,0.5433333333333333,1638.638783541689,114.43633912822165,31.16188346964311
14,5282,2,0.3366666666666666,1616.555895043608,114.06272980155632,30.4154733000682
15,4708,1,0.5066666666666666,1600.960639292507,114.4263678285679,30.483745261661284
16,7342,2,0.2233333333333333,1558.0472157034717,114.28362552992132,30.71182751229923
17,14813,3,0.2433333333333333,1535.9699585420462,114.28784761175667,30.56962420282311
18,5800,2,0.45,1531.903798598587,114.59803587936317,30.75449748829491
19,9546,2,0.2266666666666666,1521.6946747498282,113.98340856196856,30.693771375088428
20,6321,2,0.5266666666666666,1518.4008107028312,114.91325471256069,31.000635876143654
21,7863,2,0.3133333333333333,1517.9436298135577,114.0616518232154,30.410263071420307
22,8554,2,0.4566666666666666,1495.4850440965402,114.66630784095624,30.711468186185584
23,6530,2,0.3566666666666666,1494.1620781838496,114.24616578257351,30.46568912445048
24,11090,3,0.43,1486.0815800471635,114.80599586763682,30.670055851587673
25,6553,2,0.2866666666666666,1453.0422714390302,114.09884207597791,30.4259835888924
26,6212,2,0.2133333333333333,1436.8314082767074,114.05446530094244,30.44071595955196
27,9165,2,0.2766666666666667,1415.8928165300338,114.06802986173264,30.263208859409943
28,6773,2,0.2866666666666667,1382.4507542685858,114.25460994624426,30.38969165141397
29,3996,1,0.4666666666666666,1375.8339236513855,114.38055374907782,30.99434766915482
30,7889,2,0.3433333333333334,1361.8106602281614,114.0633586222552,30.6123840103472
