PointID,Original_ID,lon,lat,Class,margin,RF_Pred,prob_1,prob_2,prob_3
1,9045,113.96840669672378,30.331121494889377,2,0.0,2,0.0,0.5,0.5
2,6215,113.8775870214993,30.361754046077852,2,0.0,1,0.47,0.47,0.06
3,4063,114.28434418214862,30.297883829376953,1,0.0,1,0.5,0.5,0.0
4,5950,113.96148966903606,30.31279586309334,2,0.0,1,0.5,0.5,0.0
5,762,114.27248642039824,30.983927211859033,1,0.0,1,0.5,0.5,0.0
6,2738,114.23053509662984,30.93209441996534,1,0.0,1,0.5,0.5,0.0
7,3315,114.45870717879622,30.44125494872243,1,0.0,1,0.5,0.5,0.0
8,9260,113.81713040287804,30.463084010126536,2,0.0,1,0.5,0.5,0.0
9,2368,114.25838287043756,30.810372698967143,1,0.0,1,0.5,0.5,0.0
10,5387,114.23646397750504,31.01330212164974,2,0.0,1,0.5,0.5,0.0
11,663,114.46068347242128,30.62397227751234,1,0.0,1,0.5,0.5,0.0
12,7076,114.51224676972974,30.64840645324039,2,0.0,1,0.5,0.5,0.0
13,12865,113.80006241247978,30.454999172569455,3,0.0,2,0.12,0.44,0.44
14,2657,114.11465242497844,30.5650427948741,1,0.0,1,0.5,0.5,0.0
15,206,114.41109646873788,30.425444599721928,1,0.0,1,0.5,0.5,0.0
16,5307,114.50443142675788,30.7882741429778,2,0.009999999999999953,1,0.35,0.34,0.31
17,6894,114.34686692592334,30.72143948583931,2,0.009999999999999953,1,0.47,0.46,0.07
18,12657,113.77077733421748,30.43981764426784,3,0.009999999999999953,3,0.31,0.34,0.35
19,5875,114.74976133085092,30.7311412909078,2,0.009999999999999953,2,0.19,0.41,0.4
20,3088,114.31309027124044,30.497758980093547,1,0.009999999999999953,2,0.34,0.35,0.31
21,3217,114.12129995808093,30.64660982267215,1,0.010000000000000009,3,0.39,0.21,0.4
22,1931,114.081414759466,30.31836541785488,1,0.010000000000000009,2,0.49,0.5,0.01
23,5404,114.0468296210274,30.489135153366,2,0.010000000000000009,1,0.49,0.48,0.03
24,2563,114.39205218471454,30.47314514130867,1,0.010000000000000009,2,0.49,0.5,0.01
25,11525,114.2128382855327,30.540788282202872,3,0.010000000000000009,2,0.01,0.5,0.49
