PointID,Original_ID,lon,lat,Class,margin,BoundaryScore,prob_1,prob_2,Method
1,9847,114.37103160706614,30.860139365707365,2,0.36,2675.152650668758,0.67,0.31,BAMS150
2,5089,114.28299670922245,30.4673060919619,2,0.5433333333333333,2646.7265333479545,0.77,0.2266666666666666,BAMS150
3,9948,114.7681767941754,30.681105129582345,2,0.5266666666666667,2432.4246376413953,0.7466666666666667,0.22,BAMS150
4,5474,114.31021566233126,30.706527452122923,2,0.3533333333333333,2163.360178876047,0.6733333333333333,0.32,BAMS150
5,9953,113.93669616719436,30.35977775245279,2,0.4933333333333333,2025.7491804330407,0.7466666666666667,0.2533333333333333,BAMS150
6,6412,114.47703281059223,30.35097426266842,2,0.2699999999999999,1960.9144490272997,0.6333333333333333,0.3633333333333333,BAMS150
7,9192,114.6637925581607,30.60358052056283,2,0.3,1948.0531041270356,0.65,0.35,BAMS150
8,4001,114.4013946636694,30.4523042267171,1,0.3433333333333334,1876.5436966806856,0.67,0.3266666666666666,BAMS150
9,12096,114.5224875639687,30.99030525037628,3,0.3133333333333333,1779.4837233172916,0.59,0.2766666666666666,BAMS150
10,9912,114.61995477229569,30.746143156152595,2,0.56,1747.416477858841,0.78,0.22,BAMS150
11,1409,113.90148220805688,30.458502602177525,1,0.4733333333333334,1722.0452852095113,0.7366666666666667,0.2633333333333333,BAMS150
12,7604,114.51009081304784,30.49012330017853,2,0.5166666666666667,1703.2630454197215,0.7566666666666667,0.24,BAMS150
13,9476,114.43633912822165,31.16188346964311,2,0.5433333333333333,1638.638783541689,0.7366666666666667,0.1933333333333333,BAMS150
14,5282,114.06272980155632,30.4154733000682,2,0.3366666666666666,1616.555895043608,0.6633333333333333,0.3266666666666666,BAMS150
15,4708,114.4263678285679,30.483745261661284,1,0.5066666666666666,1600.960639292507,0.7533333333333333,0.2466666666666666,BAMS150
16,7342,114.28362552992132,30.71182751229923,2,0.2233333333333333,1558.0472157034717,0.61,0.3866666666666666,BAMS150
17,14813,114.28784761175667,30.56962420282311,3,0.2433333333333333,1535.9699585420462,0.6066666666666667,0.3633333333333333,BAMS150
18,5800,114.59803587936317,30.75449748829491,2,0.45,1531.903798598587,0.7166666666666667,0.2666666666666666,BAMS150
19,9546,113.98340856196856,30.693771375088428,2,0.2266666666666666,1521.6946747498282,0.6133333333333333,0.3866666666666666,BAMS150
20,6321,114.91325471256069,31.000635876143654,2,0.5266666666666666,1518.4008107028312,0.7633333333333333,0.2366666666666666,BAMS150
21,7863,114.0616518232154,30.410263071420307,2,0.3133333333333333,1517.9436298135577,0.6533333333333333,0.34,BAMS150
22,8554,114.66630784095624,30.711468186185584,2,0.4566666666666666,1495.4850440965402,0.7266666666666667,0.27,BAMS150
23,6530,114.24616578257351,30.46568912445048,2,0.3566666666666666,1494.1620781838496,0.6766666666666666,0.32,BAMS150
24,11090,114.80599586763682,30.670055851587673,3,0.43,1486.0815800471635,0.63,0.2,BAMS150
25,6553,114.09884207597791,30.4259835888924,2,0.2866666666666666,1453.0422714390302,0.6433333333333333,0.3566666666666667,BAMS150
26,6212,114.05446530094244,30.44071595955196,2,0.2133333333333333,1436.8314082767074,0.6066666666666667,0.3933333333333333,BAMS150
27,9165,114.06802986173264,30.263208859409943,2,0.2766666666666667,1415.8928165300338,0.6366666666666667,0.36,BAMS150
28,6773,114.25460994624426,30.38969165141397,2,0.2866666666666667,1382.4507542685858,0.64,0.3533333333333333,BAMS150
29,3996,114.38055374907782,30.99434766915482,1,0.4666666666666666,1375.8339236513855,0.7333333333333333,0.2666666666666666,BAMS150
30,7889,114.0633586222552,30.6123840103472,2,0.3433333333333334,1361.8106602281614,0.67,0.3266666666666666,BAMS150
31,11040,114.38863858663488,30.274797126575084,3,0.36,1353.117599250518,0.6533333333333333,0.2933333333333333,BAMS150
32,2351,114.57899159533982,30.66763040032055,1,0.5266666666666666,1348.8662734284244,0.7633333333333333,0.2366666666666666,BAMS150
33,1217,114.55249129445828,30.667360905735315,1,0.54,1346.6212997189539,0.77,0.23,BAMS150
34,2484,114.70924731153714,30.803096345165773,1,0.4833333333333333,1334.5176174412802,0.73,0.2466666666666666,BAMS150
35,9041,114.22119261767502,30.48877582725235,2,0.3133333333333333,1327.7531381215413,0.6566666666666666,0.3433333333333333,BAMS150
36,5586,114.1760073588838,30.373072818657757,2,0.4733333333333334,1320.8773297940156,0.7366666666666667,0.2633333333333333,BAMS150
37,5765,114.45610206447226,30.95482179665356,2,0.29,1301.7717679040982,0.6433333333333333,0.3533333333333333,BAMS150
38,5265,114.43795609573306,31.324927693710805,2,0.4633333333333333,1300.1019478674953,0.7166666666666667,0.2533333333333333,BAMS150
39,13936,114.63639394199504,30.841364576269264,3,0.49,1299.554249503774,0.66,0.17,BAMS150
40,1148,114.82063840676796,30.817828715825335,1,0.26,1279.8132728358376,0.63,0.37,BAMS150
41,5418,114.11932366445586,30.65756926913841,2,0.37,1268.0700710313731,0.6766666666666666,0.3066666666666666,BAMS150
42,6636,114.2211027861466,30.97036265106883,2,0.3966666666666666,1262.444499137425,0.6966666666666667,0.3,BAMS150
43,9666,114.41567787668689,30.752880520783492,2,0.2433333333333333,1258.2254547816588,0.62,0.3766666666666666,BAMS150
44,8241,114.55842017533348,30.518420231628298,2,0.4066666666666667,1257.6150071504712,0.7033333333333334,0.2966666666666667,BAMS150
45,9684,114.04431433823189,30.63591987079113,2,0.4933333333333333,1253.390037549913,0.7466666666666667,0.2533333333333333,BAMS150
46,8894,114.31470723875184,31.249469209844765,2,0.5533333333333332,1251.8611108443542,0.7533333333333333,0.2,BAMS150
47,7984,114.57764412241364,30.820613493206103,2,0.5133333333333333,1228.6835825366395,0.7333333333333333,0.22,BAMS150
48,7445,114.28039159489848,30.87550055706581,2,0.51,1214.760848304842,0.7533333333333333,0.2433333333333333,BAMS150
49,3173,114.189571919674,30.648496284768804,1,0.5,1211.3582468537898,0.75,0.25,BAMS150
50,9637,114.1654970700596,30.4214920124718,2,0.3466666666666667,1208.2815407114329,0.6733333333333333,0.3266666666666666,BAMS150
51,4587,114.40687438690252,30.816481242899155,1,0.5166666666666666,1207.06229602859,0.7066666666666667,0.19,BAMS150
52,8367,114.59174767237432,30.682542434036932,2,0.4833333333333334,1205.224324391443,0.6933333333333334,0.21,BAMS150
53,10636,114.1142930988648,30.59549568300575,3,0.41,1204.936500160823,0.6766666666666666,0.2666666666666666,BAMS150
54,5450,114.21975531322042,30.722607295708663,2,0.41,1200.4678527059648,0.7033333333333334,0.2933333333333333,BAMS150
55,7582,114.11123882689878,30.748748270476543,2,0.2733333333333334,1195.9090499823142,0.6366666666666667,0.3633333333333333,BAMS150
56,4596,114.3413872026902,30.505035333894917,1,0.4266666666666666,1194.75938178841,0.7,0.2733333333333333,BAMS150
57,10175,114.02985146215757,30.72817685047021,3,0.3066666666666667,1189.033219806448,0.6266666666666667,0.32,BAMS150
58,5054,114.25209466344872,30.638704648171903,2,0.24,1186.2037558137217,0.6166666666666667,0.3766666666666666,BAMS150
59,7452,114.08033678112508,30.33489441908268,2,0.52,1183.4063082047155,0.75,0.23,BAMS150
60,1804,114.18031927224756,30.548693456703127,1,0.56,1178.4578476136667,0.78,0.22,BAMS150
61,9869,114.72290170385575,30.92293160406732,2,0.44,1172.437128055959,0.7066666666666667,0.2666666666666666,BAMS150
62,3934,114.1504053732864,30.521564335122715,1,0.4399999999999999,1168.0203437434798,0.72,0.28,BAMS150
63,10479,114.32467853840558,30.470989184626788,3,0.3999999999999999,1162.617856472525,0.6666666666666666,0.2666666666666666,BAMS150
64,5286,114.00182402529302,30.596214335233046,2,0.5466666666666667,1160.467060946963,0.7666666666666667,0.22,BAMS150
65,8465,114.41927113782336,30.775158739829656,2,0.5,1149.3123364470773,0.75,0.25,BAMS150
