system:index,Original_ID,B11_mean,B11_stdDev,B12_mean,B12_stdDev,B2_mean,B2_stdDev,B3_mean,B3_stdDev,B4_mean,B4_stdDev,B8_mean,B8_stdDev,Class,MNDWI_mean,MNDWI_stdDev,NDBI_mean,NDBI_stdDev,NDVI_mean,NDVI_stdDev,.geo
00000000000000000ea1_0,3745,946.7777777777776,51.00006051799892,715.2222222222222,69.895998578488,428.05555555555543,136.1923567043737,484.99999999999983,151.3065321348245,479.27777777777766,177.56440320050245,757.5555555555554,210.6590774535487,1,-0.33589005,0.1326858521255983,0.1275503,0.135648131895616,0.23377688,0.095372192915035,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.15940224897314,31.74632739349127]}"
000000000000000003d2_0,978,1354.444444444444,17.795824173796177,855.0925925925924,84.35591525766056,454.1574074074073,177.63568298924707,600.4999999999999,154.61857190447006,507.979894179894,198.9039405213977,2102.3148148148143,287.39808117743405,1,-0.3937051,0.1064118070562357,-0.21074198,0.0665768308103487,0.6054446,0.1678899028873303,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.10182023926107,32.02094237584661]}"
000000000000000006cb_0,1739,610.8888888888887,45.29887034265865,540.6111111111109,103.99379729841208,414.49999999999983,54.58326972006471,422.9999999999999,60.78833952512786,431.5555555555554,58.35306544572944,504.1666666666666,86.93100712634129,1,-0.18360548,0.098720093149425,0.10038033,0.075373206135262,0.07546772,0.0473991462953703,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.23333359685618,32.005581184488165]}"
00000000000000000269_0,617,1234.3333333333333,285.802184891734,908.444444444444,158.8417179396668,421.33333333333314,117.57267256183869,531.3333333333331,126.4700227985536,599.2222222222221,175.69530302820516,1256.222222222222,473.50414236784263,1,-0.39279988,0.1118108184228254,0.015176152,0.123186139515702,0.330664,0.1308040336805861,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.96958822943868,32.58553353191573]}"
0000000000000000087e_0,2174,1248.0555555555552,99.44999984482544,950.6666666666664,83.88318597245153,512.5555555555554,117.83096283434637,607.2222222222221,150.03409077626898,641.7222222222221,159.80058947031992,1080.8888888888885,291.8391659209435,1,-0.3545373,0.1022550936937684,0.0882417,0.1168328517030628,0.25171897,0.0470915665648367,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.86978540137301,31.802741593333977]}"
00000000000000000725_0,1829,963.4444444444442,207.26853816626445,793.6666666666664,156.81765773591243,449.3333333333332,110.50188535344846,501.44444444444423,146.27076195353982,498.99999999999983,145.14513808981377,865.3333333333331,415.68791712587034,1,-0.31998914,0.1099243767178384,0.093272075,0.155727041512869,0.23283991,0.1209064082259303,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.14619701429659,31.73842221899102]}"
000000000000000011fd_0,4605,827.3888888888886,145.3185729847393,572.9444444444443,98.80548917624972,394.05555555555543,49.24002687766918,506.05555555555543,101.245149251278,451.6666666666665,80.59466483583141,846.1666666666663,300.70454306881066,1,-0.24123235,0.0730829814784374,0.008260815,0.141922539892202,0.2823126,0.0854954541932564,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.23611837423695,32.0141151796873]}"
000000000000000004d5_0,1237,1166.7777777777774,32.151646848361814,915.8888888888888,38.40846100201388,660.6666666666665,184.92220586566185,799.9999999999998,186.68392777335947,768.9999999999998,193.9696425274383,1543.555555555555,195.98362239461176,1,-0.19785795,0.1171674518159753,-0.13462998,0.0696649655736332,0.34172204,0.1209713635518665,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.1658701190188,31.786482086691414]}"
00000000000000000f48_0,3912,1038.5555555555552,114.10434903690472,803.9999999999997,136.2081740082682,513.3333333333331,100.75713374248,559.4444444444442,102.34159696397052,536.4444444444442,147.35905590775434,791.9999999999998,199.63689260477105,1,-0.3016227,0.0862249970284914,0.14456114,0.1574497305464378,0.19081248,0.0763169875474204,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.13119514905179,31.753783410349463]}"
00000000000000000043_0,67,1056.5555555555554,209.43037087995037,771.4999999999999,215.2514034023162,515.2222222222221,113.48619864966228,592.9999999999999,130.82006302126936,555.111111111111,180.01817466543915,1279.333333333333,253.57170802577937,1,-0.28279918,0.0358485270332711,-0.091399,0.117094247740466,0.3980978,0.1202972044017624,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.22839286279353,31.782798994026525]}"
00000000000000000885_0,2181,673.7777777777776,191.3893807444091,559.2777777777776,190.3253225271449,436.49999999999994,55.20466968976044,459.9999999999999,58.35951793266745,432.94444444444434,63.842881985754026,547.9444444444443,55.93172645906199,1,-0.17098078,0.1333000066748735,0.08593023,0.1366130115326869,0.11928022,0.0614424280745548,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.2463591684759,32.029476371045746]}"
000000000000000012ff_0,4863,970.0555555555554,266.50572689744547,773.333333333333,332.8805257813146,495.4999999999999,54.57716250105594,572.4444444444443,51.201369580447334,551.611111111111,87.38827081790336,820.0555555555552,81.70354420588158,1,-0.23987895,0.1096906749682698,0.06819909,0.1093135776181499,0.197795,0.0663704060486179,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.25255754393633,31.959946768054895]}"
000000000000000012be_0,4798,1104.6666666666663,200.60464157696407,901.0555555555552,219.6640673144695,559.111111111111,183.6882591327216,627.7222222222221,201.63486128135335,635.1666666666665,270.2043465395938,1092.8888888888887,335.12566281403025,1,-0.28781208,0.0766433708613345,0.024378277,0.111669868157209,0.27016234,0.1459225779132791,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.16119887954137,31.744979920565093]}"
000000000000000000d7_0,215,1121.7777777777776,32.21264225405883,778.8514619883039,90.2053226170512,456.63935241713006,59.6980558888115,605.7052822273073,50.63869999797543,537.8004246787281,99.32725133051484,1667.2795414462078,307.8119027513452,1,-0.29989758,0.0271136444649187,-0.18499203,0.0940009625437319,0.5081794,0.0665795627145139,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.00812595512741,31.7315051913033]}"
00000000000000000820_0,2080,882.4999999999995,80.01458200436551,658.7222222222222,99.05052333450593,525.9444444444443,106.4934647041373,619.111111111111,92.94555687718425,566.8888888888887,105.37625121908478,1168.5555555555552,281.57399308218595,1,-0.17850308,0.0578010456999952,-0.1256171,0.1289560056982405,0.33661884,0.1271245254534789,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.17997366897947,31.956353506918415]}"
00000000000000000338_0,824,1475.9999999999995,83.43860018001261,1196.9999999999995,60.81118318204309,639.5555555555553,234.0874058556908,766.3333333333331,224.50587718117512,765.6666666666664,213.7761030195429,1641.7777777777774,292.65139587258574,1,-0.32681838,0.1430467776339622,-0.044918656,0.1200666732983446,0.36875835,0.0897281856351741,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.88119400548132,32.58140128160878]}"
00000000000000000038_0,56,1296.6111111111109,505.7894147753246,1094.9999999999998,501.50545582498125,716.111111111111,255.74496603906204,785.6666666666663,293.307953447491,794.1111111111106,347.2298132503552,955.722222222222,371.8290460765174,1,-0.23619644,0.0844266784781021,0.14607462,0.061262825861063,0.10163944,0.0577282609345709,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.25246771240792,31.824301160152846]}"
00000000000000000972_0,2418,1570.9225681725677,526.8153220068108,1392.7111992945324,527.289652321437,664.5283068783067,300.9829792529898,781.7601851851848,254.3446664438285,772.8474167444753,319.4145831526035,1187.5163139329804,512.0036006649581,1,-0.32008156,0.1208062142683375,0.15377994,0.115316185501444,0.1990645,0.0711459505995825,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.02995501653152,32.49381554140712]}"
0000000000000000097d_0,2429,1846.4444444444437,70.29795494277188,1453.1666666666663,126.35927614016578,542.4444444444443,115.10633838239512,679.1666666666665,84.23083362601449,602.8888888888888,129.9467364768645,2035.8888888888885,370.812829229232,1,-0.4635066,0.0498185052569306,-0.040752687,0.0893309464686088,0.532359,0.1308438060527099,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.15140724294447,31.977643579152048]}"
00000000000000000a95_0,2709,1760.2777777777771,48.393130315453256,1266.3888888888887,69.8998401594803,561.2777777777777,101.23518029022844,709.4999999999999,96.21965611153588,709.1666666666665,133.41247651134017,1991.555555555555,96.75927875243563,1,-0.4275649,0.0541055031590058,-0.06121722,0.0247633949262817,0.47752815,0.076454582352999,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.5378624781727,32.07978202695644]}"
00000000000000000b2f_0,2863,993.6666666666664,168.97534336898585,758.5555555555553,133.34113403106835,580.4999999999998,169.15229824037272,656.3333333333331,198.52623672116152,632.5555555555553,220.29720385127752,1220.2777777777776,259.47405255750976,1,-0.2165559,0.0938480956306978,-0.09728313,0.0619687856617025,0.3279715,0.1026055422415152,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.13415958948939,31.821606214300488]}"
00000000000000001337_0,4919,1328.3333333333333,442.5034212046024,1002.0507936507933,354.7684818253291,582.3167989417988,113.77665629546628,754.2071428571428,112.9958594505148,695.7518518518517,159.18728496365966,1292.185185185185,552.9451083669529,1,-0.24601562,0.1398871069760945,0.03542261,0.1265895318400843,0.2558519,0.1428243609188463,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.14305291080217,32.51312932001569]}"
00000000000000000565_0,1381,1434.5444444444445,390.6633698982373,1019.1666666666664,268.247579465107,397.0277777777777,89.44656657247872,535.1666666666666,132.12116235944146,561.1944444444443,163.1191954172783,1633.9407407407402,671.1629321471355,1,-0.45342186,0.0694482976252636,-0.034677938,0.1422419919817341,0.46774516,0.0619683460097765,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.02510411399727,32.593259043359154]}"
00000000000000000734_0,1844,1368.9999999999998,47.37615433949868,1008.9999999999995,13.435028842544405,543.8888888888887,103.89117644540312,682.6666666666666,125.6348323957616,711.6111111111111,141.11555111125105,1602.444444444444,221.3374051388071,1,-0.34003738,0.0709452736186889,-0.073279716,0.0692530375411938,0.3886439,0.0567802347536552,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.16155820565503,31.82627745377791]}"
0000000000000000053d_0,1341,2083.3333333333326,68.57558684481754,1500.5185185185178,130.10386269885822,657.4290404040403,308.1548068180252,824.5121693121691,399.35596801824806,883.9999999999997,430.4470060297783,2161.614814814814,94.7887216699838,1,-0.45743915,0.1833025102085148,-0.018215388,0.0257378318534404,0.44743797,0.1671454075937432,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.03112282640087,31.623797188737367]}"
000000000000000005f5_0,1525,1412.7777777777776,265.8093626717288,1099.444444444444,352.28117277447285,669.6666666666665,169.93593564111808,812.1111111111107,145.49718931568898,774.4444444444441,216.51846783491752,1602.444444444444,168.88004362802212,1,-0.26931873,0.0369182078851127,-0.067539595,0.0951963786041399,0.35682788,0.1143976876840913,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.25336602769204,31.727193277939527]}"
00000000000000000cdf_0,3295,2124.7386243386236,360.5112849526405,1582.0887667887662,431.2445865308566,611.2201058201056,185.63695839293257,867.9999999999998,206.7299186360296,936.0888888888888,262.31138597071305,2310.038888888888,152.18554302617952,1,-0.424287,0.0405298620584936,-0.04728855,0.0641384679848861,0.4329232,0.0923147054733597,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.85756831350898,31.54977600932592]}"
00000000000000001166_0,4454,903.7777777777776,165.01230780882713,662.3888888888888,209.19512127540668,517.8888888888887,44.23722526069468,542.5555555555554,47.06227815024827,497.22222222222206,56.14174081490874,773.6666666666664,120.96693763173474,1,-0.24167643,0.0821950261876164,0.0735083,0.1341826298294121,0.21419191,0.063748070613651,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.22255381344674,31.906586840178193]}"
000000000000000008b5_0,2229,1343.1666666666663,98.52354484532562,1019.5555555555552,31.03413095207366,546.8148148148147,94.24332980439476,716.2791005291004,90.1859391774489,644.748148148148,106.02767667868314,1733.5555555555552,183.3921791081203,1,-0.30469006,0.0784590858912652,-0.12524451,0.0329276351897587,0.4553844,0.0986318239593091,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.02420579871315,32.59254039113186]}"
00000000000000000ef3_0,3827,1946.444444444444,46.31800972290954,1483.333333333333,150.22057855774028,574.7777777777776,186.76174827111663,778.3333333333331,168.22801986193224,799.1111111111109,233.11487127567935,2303.6666666666665,586.7619240846798,1,-0.43422952,0.0802336151582303,-0.06739588,0.1260356109789992,0.46723148,0.186467233141891,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.98342228481413,32.59002510833633]}"
00000000000000000085_0,133,786.3888888888886,89.6653586576772,608.7222222222222,80.68185501334892,514.9999999999999,73.3284089255696,552.1666666666665,74.89696626403206,501.1666666666665,82.66330638331752,720.2777777777777,142.5837202626957,1,-0.17548057,0.0464126082986347,0.04842375,0.0779046663420111,0.17718004,0.0405846623221016,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.23333359685618,31.90559869336566]}"
00000000000000000c80_0,3200,879.0555555555553,336.2810864972968,784.222222222222,339.4701845123362,475.83333333333326,46.85438435550438,509.111111111111,38.59028215164047,518.5555555555553,51.521001351360496,677.611111111111,89.15055236875615,1,-0.23256859,0.1269903466074458,0.0997244,0.1102932430199229,0.1312524,0.0178528409799953,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.38568786904285,31.924193819746936]}"
0000000000000000000a_0,10,757.3333333333331,119.50360292104632,632.6666666666665,141.23817551293354,590.4999999999999,116.35720862928947,638.9444444444442,119.2857084772252,588.111111111111,148.55746695354742,830.6111111111109,208.2060648302512,1,-0.08509203,0.1091401230824341,-0.03891181,0.1010548509149937,0.1721517,0.0383647188538364,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.2613610337207,31.89580705676876]}"
000000000000000006c2_0,1730,1259.444444444444,172.2073111824563,900.6666666666664,157.32044438731484,597.6666666666665,102.950365602934,803.3888888888886,119.22312829727151,687.0555555555554,147.88235647982037,2198.333333333333,181.7544130596742,1,-0.21874996,0.1106086298766784,-0.27339336,0.0631180087147725,0.5236514,0.098384678240856,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.19407721894015,31.94548389198057]}"
