Original_ID,lon,lat,Class,Error_Probability
5782,118.92513077143848,32.4793526653328,2,0.996
5799,119.10982439385344,31.897154529694937,2,0.996
7294,118.93492240803538,32.47018984943478,2,0.996
8131,118.82856187839562,32.24839580578567,2,0.994
6195,118.67486013328278,32.28612504771869,2,0.994
7514,118.73091500701184,32.35879875420396,2,0.994
7808,118.71735044622164,32.58957595069427,2,0.994
5635,118.73702355094385,32.40048058338711,2,0.994
6138,119.0846715658981,31.931380342019892,2,0.994
8956,118.79119196257624,32.48132895895786,2,0.994
5423,118.76882391200168,32.391138104432265,2,0.994
8535,118.93168847301254,32.29322173846324,2,0.994
6941,118.59670670356438,31.990938645357016,2,0.994
5341,118.9290833586886,32.48591036690687,2,0.994
5529,118.90168474252296,31.558399836053468,2,0.994
5855,119.1155736116718,31.70392691208083,2,0.994
9521,118.95522433345648,32.33301710554973,2,0.992
9158,118.62895622226426,32.20931909092647,2,0.992
5399,119.0178369087596,32.49597149808901,2,0.992
3238,118.9314189784273,31.95114327827052,1,0.992
