City,Method,OA,AA,Kappa,Class3 Recall,Class3 Precision,Class3 F1,PseudoClass3
Nanjing,Baseline,0.9031111111111111,0.9031111111111111,0.8546666666666667,0.9713333333333334,0.9436528497409327,0.9572930354796321,1394
Nanjing,Margin150,0.902,0.902,0.853,0.9733333333333334,0.9425435765009683,0.9576910462446704,1394
Nanjing,BAMS150,0.8995555555555556,0.8995555555555556,0.8493333333333333,0.9706666666666667,0.9430051813471503,0.9566360052562418,1394
Nanjing,BAMS150 + TeacherStudent,0.9,0.9,0.85,0.9753333333333334,0.9402313624678663,0.9574607329842932,1394
