system:index,B11,B12,B2,B3,B4,B8,Class,MNDWI,NDBI,NDVI,Original_ID,lat,lon,.geo,Error_Probability
9340,1793.0,981.0,350.0,551.0,480.0,2041.0,2,-0.5298635,-0.064684406,0.61919874,9340,32.51474628752711,118.8682674139537,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.8682674139537,32.51474628752711]}",0.466
10155,844.0,606.5,677.0,924.0,786.0,940.5,3,0.04524887,-0.054076772,0.0894874,10155,31.242013192986573,118.9229748147566,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.92297481475659,31.242013192986573]}",0.466
957,2315.5,1975.5,990.0,1167.0,1402.0,1983.0,1,-0.3297918,0.07735257,0.17163959,957,32.02363732169897,118.87886753430632,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.87886753430632,32.02363732169897]}",0.466
4877,2097.5,1896.0,1227.0,1445.0,1544.0,2157.0,1,-0.18419196,-0.013985192,0.1656309,4877,32.35403768319813,118.8111345618837,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.8111345618837,32.35403768319813]}",0.466
3961,1299.0,952.0,684.0,771.0,794.0,1356.0,1,-0.25507247,-0.021468926,0.26139534,3961,31.67598930674471,119.06697475480094,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.06697475480094,31.675989306744714]}",0.466
466,1627.0,1383.0,448.5,623.0,554.5,1712.0,1,-0.44622222,-0.025456723,0.51069933,466,32.22441078769968,118.88650321422134,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.88650321422134,32.22441078769968]}",0.466
7443,1910.6666666666667,1204.5,354.40625,528.4285714285714,498.625,1927.85,2,-0.5667012,-0.0044765556,0.58901286,7443,31.595949414929663,119.14440953229204,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.14440953229204,31.595949414929663]}",0.466
6445,2572.0,2309.5,1307.0,1714.0,1998.0,2400.0,2,-0.20018665,0.034593724,0.09140518,6445,31.252253987225533,118.87087252827766,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.87087252827766,31.252253987225533]}",0.466
2002,1003.0,887.5,692.0,739.5,782.0,993.0,1,-0.15121952,0.00501002,0.11887324,2002,32.00405404850516,118.78400544030328,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.78400544030329,32.00405404850516]}",0.466
8326,1910.0,1541.0,535.0,749.5,859.0,1757.0,2,-0.4363602,0.04172348,0.34327218,8326,32.19314941581232,118.85030110827132,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.85030110827131,32.19314941581232]}",0.466
655,2012.0,1795.5,1292.0,1496.0,1688.0,2022.5,1,-0.14709236,-0.002602553,0.090149574,655,31.980697851118055,118.8847065836531,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.8847065836531,31.980697851118055]}",0.464
8917,2262.5,1652.0,759.0,1012.3333333333334,1156.6666666666667,2184.0,2,-0.38174972,0.017654335,0.30752346,8917,31.437756093396217,119.13830098836004,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.13830098836003,31.437756093396217]}",0.464
2830,1796.0,1549.0,896.0,969.0,1001.0,2117.0,1,-0.29909584,-0.082034245,0.35792175,2830,31.89975964401889,119.10623113271696,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.10623113271697,31.899759644018886]}",0.464
1725,1507.0,1261.5,737.5,907.0,899.0,1458.0,1,-0.24855012,0.016526138,0.23716588,1725,31.8359792588464,118.8209261984806,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.8209261984806,31.8359792588464]}",0.464
2615,1886.5,1641.0,1148.0,1362.0,1522.0,1793.5,1,-0.16145913,0.02527174,0.0818881,2615,31.864635516409813,118.68680772656155,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.68680772656157,31.864635516409813]}",0.464
14982,991.0,691.0,730.0,971.0,948.0,1051.0,3,-0.0101936795,-0.029382957,0.051525764,14982,31.442337501345225,118.86117072320916,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.86117072320916,31.442337501345225]}",0.464
2060,1379.0,1086.0,750.5,843.5,891.0,1413.5,1,-0.24094488,-0.012354521,0.22673032,2060,32.24435338700713,118.75436103592736,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.75436103592735,32.24435338700713]}",0.464
7173,1761.5,1247.5,661.0,791.0,816.5,1931.0,2,-0.38021547,-0.045903858,0.4056415,7173,32.27453678055355,118.760828905973,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.76082890597301,32.27453678055355]}",0.464
14771,1040.0,785.0,785.0,993.0,1028.0,1049.0,3,-0.023118544,-0.0043082815,0.010110737,14771,31.480875227033952,118.97220249232632,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.97220249232633,31.480875227033952]}",0.464
2937,1800.5,1555.0,1067.0,1198.0,1219.0,1725.5,1,-0.2009338,0.021270562,0.17201562,2937,32.157755793618016,118.8824607954428,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.8824607954428,32.157755793618016]}",0.464
5768,1954.0,1513.0,849.0,1122.0,1262.0,2438.0,2,-0.27048114,-0.11020037,0.31783783,5768,31.51734682756921,119.0516135634425,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.0516135634425,31.517346827569206]}",0.464
3371,1098.5,1010.0,511.0,670.5,893.5,1085.0,1,-0.2419446,0.006182734,0.0967905,3371,32.19243076358502,118.75220507924548,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.75220507924547,32.19243076358502]}",0.464
634,1495.0,1158.5,996.5,1116.0,1171.0,1462.5,1,-0.14515512,0.010989011,0.1106892,634,32.049239307296375,118.59482024146772,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.59482024146773,32.049239307296375]}",0.464
8827,2034.5,1463.5,570.5,869.0,961.0,1933.0,2,-0.4014121,0.025582861,0.33586732,8827,31.940183831804266,119.01765724570278,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.01765724570278,31.940183831804266]}",0.464
600,2763.5,2459.5,1237.0,1499.0,1660.5,2415.0,1,-0.29665688,0.06729748,0.18513066,600,32.08490242407592,118.98720435757112,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.98720435757113,32.08490242407592]}",0.464
167,1638.0,1202.0,702.5,772.0,713.0,1482.0,1,-0.3593361,0.05,0.35034168,167,31.901017285416653,118.61691879745706,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.61691879745706,31.901017285416653]}",0.464
13536,495.0,377.5,750.0,1053.0,895.5,560.5,3,0.3604651,-0.062055897,-0.23008242,13536,31.808580642680756,118.89836097597173,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.89836097597171,31.808580642680756]}",0.464
10956,564.5,437.5,619.3333333333334,828.0,665.6666666666666,657.0,3,0.18922801,-0.07572657,-0.006552419,10956,31.364184071626827,119.20288985728824,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.20288985728823,31.364184071626827]}",0.464
