system:index,B11,B12,B2,B3,B4,B8,Class,MNDWI,NDBI,NDVI,Original_ID,lat,lon,.geo,Pred_Class,Confidence
4464,1968.0,1699.5,676.0,870.0,938.0,2216.5,1,-0.38689217,-0.05938583,0.40529403,4464,31.296091773090566,118.784813924059,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.78481392405901,31.296091773090566]}",2,0.956
270,1902.5,1319.5,687.0,884.5,887.0,2155.0,1,-0.3652673,-0.062230438,0.41683105,270,31.232131724861254,118.8238008073898,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.82380080738979,31.232131724861258]}",2,0.956
4946,2156.5,1496.0,641.5,876.0,920.0,2419.0,1,-0.42225885,-0.05737078,0.44893682,4946,32.2824419550538,118.9650159700534,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.96501597005339,32.2824419550538]}",2,0.956
6276,4365.0,4287.0,1730.0,2098.5,2198.0,2430.5,2,-0.3506614,0.2846737,0.050232258,6276,31.86912709283041,118.81005658354276,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.81005658354276,31.86912709283041]}",1,0.956
1891,1830.0,1562.0,1003.0,1226.0,1306.0,1812.5,1,-0.19764398,0.004804393,0.16241783,1891,32.201324084897806,119.06688492327254,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.06688492327254,32.201324084897806]}",2,0.956
3355,2149.0,1866.5,752.5,948.5,977.0,2227.0,1,-0.38757062,-0.017824497,0.3901373,3355,32.43255043903017,118.80565483865058,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.80565483865058,32.43255043903017]}",2,0.956
1765,2096.0,1559.0,593.0,866.0,820.0,2367.5,1,-0.41525996,-0.060826704,0.4854902,1765,32.31415248458322,118.9968163311112,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.9968163311112,32.31415248458322]}",2,0.956
3862,1932.0,1719.0,1030.5,1223.0,1311.0,2093.0,1,-0.22472267,-0.04,0.22972973,3862,32.13008768286713,118.55457571673917,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.55457571673917,32.13008768286713]}",2,0.956
3446,1816.5,1350.5,483.5,658.0,597.5,2584.0,1,-0.46817538,-0.174412,0.624391,3446,31.793399114379135,118.5653555001486,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.5653555001486,31.793399114379135]}",2,0.956
3356,1910.0,1582.0,672.9230769230769,858.3333333333334,878.0,2017.428571428571,1,-0.37989163,-0.027353412,0.39352673,3356,31.732762832701063,119.126083900496,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.12608390049601,31.732762832701066]}",2,0.954
448,1876.5,1610.5,725.0,971.0,1025.0,2309.5,1,-0.31799823,-0.10344004,0.38521516,448,31.913414036337503,118.85075026591338,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.85075026591338,31.913414036337503]}",2,0.954
8646,3287.0,3124.0,1940.0,2370.0,2868.0,3204.0,2,-0.16210005,0.012786936,0.05533597,8646,31.460393638556027,119.1409959342124,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.1409959342124,31.460393638556027]}",1,0.954
3898,1797.0,1461.5,1034.0,1205.0,1311.0,1915.5,1,-0.19720186,-0.031919193,0.18735471,3898,31.952850077310348,118.8945880517784,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.89458805177841,31.952850077310348]}",2,0.954
2584,2333.5,1682.5,737.0,979.5,1080.0,2558.0,1,-0.40869302,-0.04589594,0.40626717,2584,32.230429500103284,118.88380826836898,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.88380826836898,32.230429500103284]}",2,0.954
18,1331.0,874.0,356.5,571.0,501.5,2072.0,1,-0.39957938,-0.21774904,0.6102584,18,31.965875648930083,118.84428239586772,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.84428239586772,31.965875648930083]}",2,0.954
2929,1773.0,1214.0,680.0,886.5,995.5,2191.5,1,-0.33333334,-0.10556186,0.37527454,2929,31.796453386345146,118.63578341842356,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.63578341842357,31.796453386345142]}",2,0.954
2967,2118.5,1678.5,732.0,961.5,975.0,2891.5,1,-0.37564936,-0.15429142,0.4956679,2967,31.991836960641137,118.762356041956,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.76235604195601,31.991836960641137]}",2,0.954
2049,2069.5,1602.5,732.0,880.0,892.0,2297.5,1,-0.4032887,-0.052209754,0.44066468,2049,31.897064698166528,118.46654081889544,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.46654081889545,31.897064698166528]}",2,0.952
2771,1958.5,1644.0,709.5,920.5,985.0,2119.5,1,-0.36054185,-0.03948014,0.36543727,2771,31.838943699283995,118.65078528366836,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.65078528366837,31.838943699283995]}",2,0.952
5808,2612.0,2481.5,2007.0,2326.0,2504.0,2818.0,2,-0.057918187,-0.037937384,0.059000377,5808,31.895537562183524,118.80089376764474,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.80089376764474,31.895537562183524]}",1,0.952
4183,2002.5,1430.0,599.5,875.0,908.0,2330.0,1,-0.3918332,-0.07559146,0.43916,4183,32.097119511939944,118.76999172187104,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.76999172187104,32.097119511939944]}",2,0.952
1001,1878.0,1554.0,673.0,893.0,1028.0,2170.5,1,-0.35546735,-0.07224898,0.3571987,1001,31.753424084235817,118.64431741362272,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.64431741362272,31.753424084235814]}",2,0.952
