Original_ID,Class,RF_Pred,prob_1,prob_2,prob_3,margin,lon,lat
0,1,1,0.9633333333333334,0.03,0.006666666666666667,0.9333333333333333,118.80682264851993,32.09253810399093
1,1,1,0.9866666666666667,0.013333333333333334,0.0,0.9733333333333334,119.12698221578012,31.380533409797803
2,1,1,0.94,0.056666666666666664,0.0033333333333333335,0.8833333333333333,118.67369232341342,31.92104971625252
3,1,1,0.89,0.11,0.0,0.78,118.92207649947248,31.35277546751851
4,1,1,0.95,0.05,0.0,0.8999999999999999,118.95675146943948,31.737434072178488
5,1,1,0.9466666666666667,0.05,0.0033333333333333335,0.8966666666666666,118.90321187850596,31.76132925873607
6,1,1,0.7666666666666667,0.06666666666666667,0.16666666666666666,0.6000000000000001,118.7922699409172,32.01447450580095
7,1,1,0.9,0.03,0.07,0.8300000000000001,118.83997048250394,31.944495745168037
8,1,1,0.7266666666666667,0.2633333333333333,0.01,0.4633333333333334,119.01900471862896,31.80750266433981
9,1,1,0.97,0.03,0.0,0.94,118.84455189045296,32.04124430126771
10,1,1,0.93,0.07,0.0,0.8600000000000001,118.74007782290984,32.18784935563602
11,1,1,0.9766666666666667,0.023333333333333334,0.0,0.9533333333333334,118.9681600735478,31.36750783817807
12,1,1,0.9933333333333333,0.006666666666666667,0.0,0.9866666666666666,118.87311831648796,31.98429111225453
13,1,1,0.7566666666666667,0.24333333333333335,0.0,0.5133333333333334,118.7142063427272,32.54313305050529
14,1,1,0.9333333333333333,0.05333333333333334,0.013333333333333334,0.88,119.01514196290724,31.314417404886605
15,1,1,0.9733333333333334,0.02666666666666667,0.0,0.9466666666666668,119.04128293767512,32.128380883827305
16,1,1,0.9166666666666666,0.08,0.0033333333333333335,0.8366666666666667,119.04676266090826,31.681648693034667
17,1,1,0.6833333333333333,0.31666666666666665,0.0,0.3666666666666667,119.13407890652468,32.23366343512611
18,1,1,0.6733333333333333,0.32666666666666666,0.0,0.3466666666666667,118.84428239586772,31.965875648930083
19,1,1,0.9366666666666666,0.06333333333333334,0.0,0.8733333333333333,118.8328737917594,32.253067045263094
20,1,1,0.92,0.08,0.0,0.8400000000000001,118.61242722103648,32.215158140273246
21,1,1,0.97,0.03,0.0,0.94,119.09473269708025,31.689014878364446
22,1,1,0.9733333333333334,0.02666666666666667,0.0,0.9466666666666668,118.8216448507079,32.245251702291256
23,1,1,0.94,0.056666666666666664,0.0033333333333333335,0.8833333333333333,118.40114346621156,31.943507598355502
24,1,1,0.94,0.06,0.0,0.8799999999999999,119.17818618697494,32.25064159399597
25,1,1,0.9766666666666667,0.023333333333333334,0.0,0.9533333333333334,118.8667402779707,31.98294363932835
26,1,1,0.98,0.02,0.0,0.96,118.88515574129516,31.957790811373005
27,1,1,0.9866666666666667,0.013333333333333334,0.0,0.9733333333333334,119.07829352738084,32.1704220391241
28,1,1,0.8966666666666666,0.1,0.0033333333333333335,0.7966666666666666,118.58314214277416,32.14212510767433
29,1,1,0.97,0.02666666666666667,0.0033333333333333335,0.9433333333333334,118.58251332207529,32.04726301367131
30,1,1,0.9833333333333333,0.016666666666666666,0.0,0.9666666666666666,118.93249695676823,31.369214637217897
31,1,1,0.9233333333333333,0.07666666666666666,0.0,0.8466666666666667,118.65141410436723,31.95563485469112
32,1,1,0.97,0.03,0.0,0.94,118.81948889402602,31.966324806572143
33,1,1,0.9433333333333334,0.05,0.006666666666666667,0.8933333333333333,118.71806909844892,32.03926800764265
34,1,1,0.9633333333333334,0.03666666666666667,0.0,0.9266666666666667,118.7149249949545,31.84020134068176
35,1,1,0.93,0.06333333333333334,0.006666666666666667,0.8666666666666667,118.61584081911612,32.223512472415564
36,1,1,0.8633333333333333,0.12666666666666668,0.01,0.7366666666666666,118.99052812412238,31.475036177687176
37,1,1,0.72,0.28,0.0,0.43999999999999995,118.69947397206764,31.93398545634384
38,1,1,0.98,0.016666666666666666,0.0033333333333333335,0.9633333333333333,118.76936290117214,32.05624616651251
39,1,1,0.9233333333333333,0.056666666666666664,0.02,0.8666666666666667,118.78714954379772,32.04681385602925
40,1,1,0.78,0.22,0.0,0.56,119.04083378003308,31.51069929446672
41,1,1,0.98,0.016666666666666666,0.0033333333333333335,0.9633333333333333,118.84545020573708,32.04070531209724
42,1,1,0.7966666666666666,0.03333333333333333,0.17,0.6266666666666666,118.68042968804431,32.5063919553848
43,1,1,0.98,0.02,0.0,0.96,119.00777577757746,32.0531918945465
44,1,1,0.7333333333333333,0.26666666666666666,0.0,0.4666666666666666,119.1763895564067,31.582744180253105
45,1,1,0.9933333333333333,0.006666666666666667,0.0,0.9866666666666666,118.74169479042126,32.039986659869946
46,1,1,0.7966666666666666,0.20333333333333334,0.0,0.5933333333333333,118.84706717324848,32.403085697711056
47,1,1,0.9566666666666667,0.02,0.023333333333333334,0.9333333333333333,118.80233107209934,31.978362231379343
48,1,1,0.9966666666666667,0.0033333333333333335,0.0,0.9933333333333334,118.72642343059124,32.12550627491812
49,1,1,0.99,0.01,0.0,0.98,118.81580580136112,32.12496728574765
50,1,1,0.9733333333333334,0.02666666666666667,0.0,0.9466666666666668,119.00454184255464,31.48303118371584
51,1,1,0.9466666666666667,0.05333333333333334,0.0,0.8933333333333333,118.59041849657554,31.902634252928067
52,1,1,0.9,0.1,0.0,0.8,118.7269624197617,32.080680342240555
53,1,1,0.97,0.02666666666666667,0.0033333333333333335,0.9433333333333334,118.89988811195472,31.697189547449938
54,1,1,0.9,0.1,0.0,0.8,119.12060417726288,31.68093004080737
55,1,1,0.9433333333333334,0.056666666666666664,0.0,0.8866666666666667,118.75040844867722,31.94242962001456
56,1,1,0.9733333333333334,0.02666666666666667,0.0,0.9466666666666668,118.45387457338936,31.916647971360337
57,1,1,0.97,0.01,0.02,0.95,118.81724310581572,32.19126295371567
58,1,1,0.7633333333333333,0.23666666666666666,0.0,0.5266666666666666,118.82460929114548,32.40838575788736
59,1,1,0.93,0.06666666666666667,0.0033333333333333335,0.8633333333333334,118.92432228768276,32.0915499571784
60,1,1,0.94,0.04666666666666667,0.013333333333333334,0.8933333333333333,118.8268550793558,31.79142282075407
61,1,1,0.9633333333333334,0.03666666666666667,0.0,0.9266666666666667,118.65428871327644,31.833374144522452
62,1,1,0.9666666666666667,0.03,0.0033333333333333335,0.9366666666666666,118.4938496035327,32.10780946382096
63,1,1,0.97,0.02,0.01,0.95,118.61844593344009,31.918534433456983
64,1,1,0.9233333333333333,0.06,0.016666666666666666,0.8633333333333333,118.8193092309692,31.981685997930587
65,1,1,0.9733333333333334,0.02666666666666667,0.0,0.9466666666666668,118.87778955596538,32.15533034235089
66,1,1,0.9433333333333334,0.05333333333333334,0.0033333333333333335,0.89,118.76585947156408,31.669701099755876
67,1,1,0.9666666666666667,0.0,0.03333333333333333,0.9333333333333333,118.74888131269422,32.01761860929537
68,1,1,0.7333333333333333,0.26666666666666666,0.0,0.4666666666666666,118.79182078327514,32.33211879026561
69,1,1,0.9433333333333334,0.02666666666666667,0.03,0.9133333333333333,118.70342655931778,32.09990428932071
70,1,1,0.98,0.02,0.0,0.96,118.86467415281724,32.13727420514009
71,1,1,0.9766666666666667,0.016666666666666666,0.006666666666666667,0.96,118.74816266046692,32.0239068162842
72,1,1,0.76,0.23666666666666666,0.0033333333333333335,0.5233333333333333,118.77259683619498,31.98231481862947
73,1,1,0.9933333333333333,0.006666666666666667,0.0,0.9866666666666666,119.05403901470964,31.984560606839768
74,1,1,1.0,0.0,0.0,1.0,118.93618004943316,31.32474803065398
75,1,1,0.91,0.08,0.01,0.8300000000000001,118.89449822025,31.634756635203622
76,1,1,0.9266666666666666,0.06666666666666667,0.006666666666666667,0.86,118.73163365923912,32.063971677955934
77,1,1,0.9933333333333333,0.006666666666666667,0.0,0.9866666666666666,118.82577710101484,32.02543395226721
78,1,1,0.9166666666666666,0.03333333333333333,0.05,0.8666666666666666,118.73109467006866,32.07915320625755
79,1,1,0.95,0.05,0.0,0.8999999999999999,118.94049196279693,31.412333770855632
80,1,1,0.8933333333333333,0.1,0.006666666666666667,0.7933333333333333,118.88668287727816,32.07816505944502
81,1,1,0.91,0.09,0.0,0.8200000000000001,118.72130303347176,31.970996046049564
82,1,1,0.82,0.18,0.0,0.6399999999999999,118.86952505535147,32.27291981304214
83,1,1,0.9933333333333333,0.006666666666666667,0.0,0.9866666666666666,118.86386566906152,31.99066915077178
84,1,1,0.95,0.05,0.0,0.8999999999999999,118.74465923085886,32.10520434949702
85,1,1,0.9533333333333334,0.04666666666666667,0.0,0.9066666666666667,119.17737770321924,31.613107236856347
86,1,1,0.9466666666666667,0.02666666666666667,0.02666666666666667,0.92,118.81463799149176,31.95150260438417
87,1,1,0.95,0.05,0.0,0.8999999999999999,119.15518931570148,31.313159763488837
88,1,1,0.9866666666666667,0.013333333333333334,0.0,0.9733333333333334,118.92252565711452,31.42374237496395
89,1,1,0.9533333333333334,0.04666666666666667,0.0,0.9066666666666667,118.81535664371908,32.12344014976465
90,1,1,0.93,0.06666666666666667,0.0033333333333333335,0.8633333333333334,118.92575959213735,32.054898693586324
91,1,1,0.8766666666666667,0.12333333333333334,0.0,0.7533333333333334,119.04972710134584,31.67679779050042
92,1,1,0.98,0.02,0.0,0.96,118.4232420222009,31.93587191844049
93,1,1,0.86,0.14,0.0,0.72,118.7352269203756,32.138172520424206
94,1,1,0.91,0.09,0.0,0.8200000000000001,118.59212529561536,31.83885386775558
95,1,1,0.98,0.02,0.0,0.96,118.88066416487456,31.322232747858447
96,1,1,0.96,0.04,0.0,0.9199999999999999,118.64171229929876,31.931560005076715
