PointID,Original_ID,lon,lat,Class,margin,BoundaryScore,RF_Pred,prob_1,prob_2,prob_3,Method,Rule
1,8037,118.88587439352244,31.281718728544657,2,0.14666666666666667,89.85672539258371,2,0.0,0.5733333333333334,0.4266666666666667,Top150,min_margin
2,5515,118.81382950773606,31.778127754549104,2,0.15333333333333332,756.5622197689783,2,0.42333333333333334,0.5766666666666667,0.0,Top150,min_margin
3,5775,118.56310971193832,31.826007959192673,2,0.15333333333333332,1089.0077756769542,2,0.42333333333333334,0.5766666666666667,0.0,Top150,min_margin
4,759,118.92890369563176,31.941171978616797,1,0.17333333333333334,464.808526617756,1,0.5866666666666667,0.41333333333333333,0.0,Top150,min_margin
5,4684,118.60524069876352,32.22216499948938,1,0.17333333333333334,614.7936117543352,1,0.5866666666666667,0.41333333333333333,0.0,Top150,min_margin
6,9434,118.90222373169344,31.394008139059594,2,0.17333333333333334,293.6446981693274,2,0.41333333333333333,0.5866666666666667,0.0,Top150,min_margin
7,9131,119.00472150561146,32.29582685278718,2,0.1833333333333333,496.93286192996345,2,0.4066666666666667,0.59,0.0033333333333333335,Top150,min_margin
8,2862,118.92647824436465,31.74893250781522,1,0.1866666666666667,297.57113871464253,1,0.5933333333333334,0.4066666666666667,0.0,Top150,min_margin
9,7582,118.86242836460691,31.36939430027472,2,0.1966666666666667,120.26494388124419,2,0.01,0.5933333333333334,0.39666666666666667,Top150,min_margin
10,8855,119.05574581374944,31.66368238735227,2,0.20666666666666672,785.0402479299964,2,0.39666666666666667,0.6033333333333334,0.0,Top150,min_margin
11,6212,118.95558365957012,31.429401761253903,2,0.21333333333333337,85.87439843545042,2,0.0,0.6066666666666667,0.3933333333333333,Top150,min_margin
12,3628,118.69686885774372,32.50145122132214,1,0.21999999999999997,639.280619495535,1,0.61,0.39,0.0,Top150,min_margin
13,4831,118.9012355848809,32.342000258390925,1,0.21999999999999997,755.7152254898932,1,0.61,0.39,0.0,Top150,min_margin
14,5863,118.86844707701052,31.3564585601834,2,0.21999999999999997,410.8041865671221,2,0.39,0.61,0.0,Top150,min_margin
15,14580,118.86835724548212,31.427694962214076,3,0.21999999999999997,98.95253597144605,3,0.37,0.04,0.59,Top150,min_margin
16,9351,118.84131795543011,32.09388557691712,2,0.22333333333333333,714.172387695795,2,0.37666666666666665,0.6,0.023333333333333334,Top150,min_margin
17,6134,118.92360363545546,32.07493112442219,2,0.22666666666666663,596.4801813256072,2,0.38666666666666666,0.6133333333333333,0.0,Top150,min_margin
18,6972,118.55295874922776,31.81100609394788,2,0.22666666666666663,5440.850975559567,2,0.38666666666666666,0.6133333333333333,0.0,Top150,min_margin
19,9299,118.756247498024,32.16943389231157,2,0.22666666666666663,282.03707748993946,2,0.38666666666666666,0.6133333333333333,0.0,Top150,min_margin
20,5619,118.92423245615436,31.389067404996936,2,0.23333333333333328,554.7630540073186,2,0.38,0.6133333333333333,0.006666666666666667,Top150,min_margin
21,5808,118.80089376764474,31.895537562183524,2,0.23333333333333334,811.5084967354842,2,0.38333333333333336,0.6166666666666667,0.0,Top150,min_margin
22,7324,118.79640219122416,31.310644480693306,2,0.23333333333333334,123.09205905086151,2,0.0,0.6166666666666667,0.38333333333333336,Top150,min_margin
