Original_ID,Original_ID_GEE,system:index,B11_mean,B11_stdDev,B12_mean,B12_stdDev,B2_mean,B2_stdDev,B3_mean,B3_stdDev,B4_mean,B4_stdDev,B8_mean,B8_stdDev,Class,MNDWI_mean,MNDWI_stdDev,NDBI_mean,NDBI_stdDev,NDVI_mean,NDVI_stdDev,.geo
2022,000000000000000007e6,000000000000000007e6_0,559.4555555555554,100.91113924979376,394.22222222222206,78.68241760079673,375.38756613756607,60.83144834754231,405.24999999999983,71.59949479096203,333.23981481481474,61.04547596226558,635.2962962962962,164.56221435581753,1,-0.15877368,0.0449140390833253,-0.05794952,0.0793010311581076,0.3063992,0.0520527411887565,"{""type"":""MultiPoint"",""coordinates"":[]}"
743,000000000000000002e7,000000000000000002e7_0,642.1111111111109,158.6081435799453,523.5555555555554,119.43023171255074,441.6666666666665,133.5340156414587,415.55555555555543,125.15067462073344,372.2222222222221,121.085624229558,512.6666666666665,171.28663436214487,1,-0.21500853,0.0977994132721973,0.12120104,0.1236311970253743,0.1522779,0.0806362940031055,"{""type"":""MultiPoint"",""coordinates"":[]}"
3217,00000000000000000c91,00000000000000000c91_0,670.3222222222222,90.34087901077194,510.02998667998656,56.41543470768224,360.4832482460068,26.655616538527507,387.10911920323673,43.98229869669021,360.6419432419431,54.81113724604147,577.4253949753947,88.83604856110199,2,-0.26570114,0.0487047076206386,0.07512595,0.0549432183738483,0.23059244,0.0308625987620247,"{""type"":""MultiPoint"",""coordinates"":[]}"
1133,0000000000000000046d,0000000000000000046d_0,732.8333333333331,266.6511453816265,612.9444444444443,303.09371895361966,415.49999999999983,77.19240031678422,441.9999999999999,121.87926630709408,431.2222222222222,154.26620410315104,649.5555555555554,186.97971435491843,1,-0.2331363,0.0667500114915907,0.048543528,0.0533151095354491,0.21021682,0.0440073071755607,"{""type"":""MultiPoint"",""coordinates"":[]}"
2583,00000000000000000a17,00000000000000000a17_0,694.9999999999998,219.35334255235065,607.5555555555555,260.1004554274756,414.4444444444443,37.020869156280874,415.05555555555543,57.81974971227444,391.9462962962961,67.58282242935083,492.88174603174593,93.85265781095872,1,-0.23017217,0.1029161511257493,0.15149283,0.1106964791959617,0.11306219,0.0423185626844919,"{""type"":""MultiPoint"",""coordinates"":[]}"
375,00000000000000000177,00000000000000000177_0,695.6666666666666,55.390031192946225,529.9999999999999,14.142135623730953,429.7777777777777,23.13860544044064,465.3333333333332,33.274114062836695,428.05555555555543,48.606380722221886,622.4999999999999,98.91213834060564,1,-0.19795303,0.0327808256986624,0.05961652,0.0523716828120976,0.18186115,0.0709235340043963,"{""type"":""MultiPoint"",""coordinates"":[]}"
2947,00000000000000000b83,00000000000000000b83_0,780.3333333333331,145.31268966534813,686.5555555555555,186.55717688396112,492.88888888888874,169.78446758198697,548.8888888888888,197.72958214268547,569.7777777777776,247.39297473982012,743.8888888888887,229.3606788175653,1,-0.18909831,0.1364064132197245,0.035105586,0.1160095686913542,0.15234861,0.060836386268876,"{""type"":""MultiPoint"",""coordinates"":[]}"
3066,00000000000000000bfa,00000000000000000bfa_0,877.9999999999997,260.45601036131484,742.222222222222,268.11265367701026,478.66666666666646,113.73458381493096,518.7777777777777,132.24033489385718,497.44444444444434,158.75635498118982,821.9999999999997,153.83829894477586,1,-0.25107935,0.0365495300945602,0.02073935,0.0932255519803265,0.25723225,0.0881748163970402,"{""type"":""MultiPoint"",""coordinates"":[]}"
3091,00000000000000000c13,00000000000000000c13_0,808.6759259259256,93.11316992921124,610.7703703703703,78.50739124509053,392.43185425685414,19.782600742890317,436.3231040564373,56.66203529338163,379.261604136604,52.80879781239233,830.1240740740737,145.02267151646407,1,-0.299295,0.056408025449082,-0.008007173,0.0783931648469571,0.368561,0.0568509527445112,"{""type"":""MultiPoint"",""coordinates"":[]}"
2534,000000000000000009e6,000000000000000009e6_0,460.75802469135783,95.68160560404412,342.3333333333333,78.64265170164767,389.1023809523808,37.24135900932826,387.4435185185184,50.00658286569855,388.6264550264548,65.6582111077591,504.74166666666656,56.50197281598931,1,-0.07983149,0.0865812331661196,-0.05214367,0.062382108120449,0.13389401,0.0313763440930683,"{""type"":""MultiPoint"",""coordinates"":[]}"
