held_out,wc_vs_human_acc,operator_acc,n_operator_fires,fire_precision_vs_human,OA_vs_Human,changed_toward_Human_frac,n_changed
Wuhan,0.4133333333333333,0.7133333333333334,18,0.7777777777777778,0.48,0.7777777777777778,18
Hefei,0.5066666666666667,0.6733333333333333,28,0.6785714285714286,0.5733333333333334,0.6785714285714286,28
Nanchang,0.46,0.7266666666666667,11,0.8181818181818182,0.5066666666666667,0.8181818181818182,11
Nanjing,0.32,0.74,15,0.9333333333333332,0.4066666666666667,0.9333333333333332,15
Changsha,0.5066666666666667,0.7466666666666667,18,0.8333333333333334,0.5933333333333334,0.8333333333333334,18
Hangzhou,0.5933333333333334,0.7533333333333333,11,0.9090909090909092,0.6533333333333333,0.9090909090909092,11
