tau,q,n_corrected,Human_OA,Human_BE,WC_OA
0.7,0.05,88.93333333333334,0.40444444444444444,67.16666666666667,0.9267883607901303
0.7,0.1,186.23333333333332,0.45422222222222225,59.93333333333333,0.9232733034889691
0.7,0.2,344.7,0.5155555555555555,51.1,0.913179844648454
0.8,0.05,27.933333333333334,0.38466666666666666,69.9,0.9282050648312671
0.8,0.1,60.233333333333334,0.40844444444444444,66.56666666666666,0.9275547297991517
0.8,0.2,112.1,0.4488888888888889,60.8,0.9247430821157654
0.85,0.05,9.4,0.3791111111111111,70.63333333333334,0.928606021494402
0.85,0.1,23.466666666666665,0.3893333333333333,69.26666666666667,0.9286244374976202
0.85,0.2,41.36666666666667,0.4046666666666667,67.06666666666666,0.9283244755994591
0.9,0.05,1.2333333333333334,0.37466666666666665,71.3,0.9286615640842394
0.9,0.1,4.6,0.37933333333333336,70.8,0.9287955171136197
0.9,0.2,8.133333333333333,0.3815555555555556,70.33333333333333,0.9287871713217353
