method,WC_OA_mean,WC_OA_std,WC_BE_mean,Human_OA_mean,Human_OA_std,Human_BE_mean,n_corrected_mean
B0_baseline,0.928539025646513,0.020827434428501265,233.2,0.37466666666666665,0.07360243207709129,71.33333333333333,0.0
B1_local_oracle,0.927349592901093,0.02071455577514434,239.56666666666666,0.4222222222222222,0.0856855756819601,64.66666666666667,54.733333333333334
B2_loco_gated,0.9286244374976202,0.02059823903792619,233.26666666666668,0.3893333333333333,0.06871786953820479,69.26666666666667,23.466666666666665
B3_loco_ungated,0.9276889420217816,0.02055400481131709,237.5,0.4151111111111111,0.07778412672499686,65.46666666666667,54.0
B4_random_flip,0.9285260205903276,0.020716077752900207,233.23333333333332,0.378,0.07536679147147624,71.23333333333333,23.466666666666665
