city,n,WC=Human,DW=Human,ESRI=Human,DW=ESRI,tri_consensus_frac,WC=tri_consensus
Wuhan,150,0.41333333333333333,0.5066666666666667,0.5,0.9066666666666666,0.4666666666666667,0.4142857142857143
Hefei,150,0.5066666666666667,0.3933333333333333,0.4066666666666667,0.8333333333333334,0.32666666666666666,0.5306122448979592
Nanchang,150,0.46,0.38666666666666666,0.36,0.8133333333333334,0.29333333333333333,0.38636363636363635
Nanjing,150,0.32,0.4266666666666667,0.43333333333333335,0.9266666666666666,0.4,0.26666666666666666
Changsha,150,0.5066666666666667,0.43333333333333335,0.35333333333333333,0.8666666666666667,0.3333333333333333,0.54
Hangzhou,150,0.5933333333333334,0.5266666666666666,0.48,0.9,0.46,0.7391304347826086
