method,OA_vs_Human,BE_vs_Human,OA_vs_tri_consensus,changed_toward_Human_frac,changed_toward_DWESRI_frac,n_changed
WC_raw,0.46666666666666673,58.166666666666664,0.4795097828327642,,,0.0
LOCO_corrected,0.5355555555555556,48.666666666666664,0.5125626719726099,0.8250481000481001,0.30427559912854035,16.833333333333332
local_oracle(ceiling),0.8066666666666666,15.5,0.7792605737947352,1.0,0.36423529885892186,51.0
random_flip,0.45555555555555555,52.5,0.47430574601382053,0.33205868205868205,0.20494340898752664,16.833333333333332
