Method,OA_mean,OA_std,Kappa_mean,BE_mean,BE_std,BE_red_mean
Baseline,0.9138369905183935,0.016584245611680253,0.8690554642157845,275.6666666666667,44.29231901593687,0.0
BAMS150,0.9137041791019667,0.01636914020098672,0.8688105900282216,275.3333333333333,44.74797148900664,0.1289943392999389
BAMS150+PrototypeExpansion_Boundary,0.9242059797326562,0.01707051766480944,0.8846818825255658,226.93333333333334,45.48071281428246,17.943555126953054
