PointID,Original_ID,lon,lat,WC_Class,RF_Pred,margin,BoundaryScore,prob_1,prob_2,prob_3,Human_Class,Scene,Confidence,Notes
1,61,119.03698684284116,29.321750929053547,1,1,0.5366666666666667,1596.0355377067328,0.7666666666666667,0.23,0.0033333333333333,,,,
2,172,119.2064103873668,29.427752679296063,1,1,0.65,1461.3486203971013,0.8233333333333334,0.1733333333333333,0.0033333333333333,,,,
3,224,118.93978735807808,29.463951661647933,1,1,0.6933333333333334,1008.9752182677356,0.8466666666666667,0.1533333333333333,0.0,,,,
4,400,119.0343827278259,29.604899386846306,1,1,0.4866666666666666,1332.7443005428136,0.7333333333333333,0.2466666666666666,0.02,,,,
5,404,119.02962040790082,29.606246035364443,1,1,0.5266666666666666,1222.076431969569,0.7633333333333333,0.2366666666666666,0.0,,,,
6,442,119.5350996442184,29.629424442640257,1,1,0.5,1107.132573280098,0.75,0.25,0.0,,,,
7,467,119.21179698143936,29.65089055511154,1,1,0.6166666666666667,1320.1900197626528,0.8066666666666666,0.19,0.0033333333333333,,,,
8,489,119.10903253856164,29.684668245591393,1,1,0.4399999999999999,2111.0939333561832,0.72,0.28,0.0,,,,
9,530,119.185568549043,29.743688907134807,1,1,0.6799999999999999,1326.5110380000492,0.84,0.16,0.0,,,,
10,583,119.20425218245693,29.782674827645085,1,1,0.4066666666666667,1013.001295842456,0.7033333333333334,0.2966666666666667,0.0,,,,
11,601,119.67002758299462,29.790491631791777,1,1,0.5266666666666666,1131.2233542372155,0.7433333333333333,0.04,0.2166666666666666,,,,
12,622,119.72581539627426,29.80171964824435,1,1,0.6799999999999999,1119.7339474205653,0.84,0.16,0.0,,,,
13,1658,120.25025027117005,30.12053199626257,1,1,0.6733333333333333,1249.9672935699482,0.8366666666666667,0.1633333333333333,0.0,,,,
14,1874,120.2497107199426,30.155027602012023,1,1,0.6900000000000001,1713.662293920444,0.8433333333333334,0.1533333333333333,0.0033333333333333,,,,
15,1978,119.2107178789844,30.16706271575528,1,1,0.6333333333333333,1011.210301249743,0.8166666666666667,0.1833333333333333,0.0,,,,
16,2003,120.13158467393572,30.168770551458746,1,1,0.4933333333333333,1198.383642588523,0.7466666666666667,0.2533333333333333,0.0,,,,
17,2071,119.75788525105068,30.175597435171575,1,1,0.6200000000000001,2010.9919801409665,0.81,0.19,0.0,,,,
18,2088,120.30882056350706,30.176136986399044,1,1,0.6599999999999999,1671.175457088954,0.83,0.17,0.0,,,,
19,2333,119.679819768908,30.19302360208844,1,1,0.4566666666666666,1112.8963353977658,0.7266666666666667,0.27,0.0033333333333333,,,,
20,2482,120.2351606732052,30.204701987747413,1,1,0.5666666666666667,1618.628101021767,0.7733333333333333,0.02,0.2066666666666666,,,,
21,2532,120.51740839258514,30.20838520521756,1,1,0.6133333333333334,1132.6443470801944,0.8,0.1866666666666666,0.0133333333333333,,,,
22,2657,119.70434482470196,30.220246414019726,1,1,0.6766666666666666,1122.875411913542,0.8366666666666667,0.0033333333333333,0.16,,,,
23,2795,120.52477482752542,30.23264271494831,1,1,0.5633333333333334,1121.2282975936018,0.78,0.2166666666666666,0.0033333333333333,,,,
24,2972,120.19284826330905,30.246296482373964,1,1,0.6933333333333334,1171.6564365814863,0.8166666666666667,0.1233333333333333,0.06,,,,
25,3348,119.88796168788072,30.279262616462088,1,1,0.4466666666666667,1172.2006366238734,0.7233333333333334,0.2766666666666666,0.0,,,,
26,3506,120.47842247207488,30.29165891739066,1,1,0.6666666666666667,1309.7394251049989,0.8333333333333334,0.1666666666666666,0.0,,,,
27,3619,120.10265848540205,30.301723108468288,1,1,0.6866666666666666,1899.3998966029103,0.8366666666666667,0.0133333333333333,0.15,,,,
28,3669,120.3314594195554,30.3059458771659,1,1,0.6333333333333333,1095.5021332263025,0.8166666666666667,0.1833333333333333,0.0,,,,
29,4069,120.2994787468001,30.346545992257525,1,1,0.5266666666666667,1057.9634625996896,0.7466666666666667,0.0333333333333333,0.22,,,,
30,4525,119.847267931667,30.41005696856176,1,1,0.4533333333333333,1031.769973440118,0.7266666666666667,0.2733333333333333,0.0,,,,
31,4961,120.29920674163584,30.513904972995466,1,1,0.6799999999999999,1058.3142935856629,0.84,0.16,0.0,,,,
32,4967,120.2436909335204,30.51650908801067,1,1,0.7100000000000001,1771.7147988135112,0.8533333333333334,0.0033333333333333,0.1433333333333333,,,,
33,5759,118.8824745322382,29.485961784447746,2,2,0.68,1150.7471080806806,0.13,0.81,0.06,,,,
34,5841,118.761650730094,29.505184969089147,2,2,0.3666666666666667,1058.991473956517,0.2833333333333333,0.65,0.0666666666666666,,,,
35,6244,118.94005936324236,29.60804305308898,2,2,0.3899999999999999,1187.712638312219,0.0566666666666666,0.6666666666666666,0.2766666666666666,,,,
36,6800,119.67964140486582,29.74449600442548,2,2,0.4233333333333333,1041.1658594660396,0.2866666666666667,0.71,0.0033333333333333,,,,
37,6825,119.1033694802238,29.749615052434834,2,2,0.6033333333333333,1382.6731714388338,0.1366666666666666,0.74,0.1233333333333333,,,,
38,6836,119.08791869507355,29.752852359799636,2,2,0.6633333333333333,1141.9795386569049,0.1666666666666666,0.83,0.0033333333333333,,,,
39,7416,119.52243579722662,29.87412207204915,2,2,0.6333333333333333,1198.599633439984,0.1833333333333333,0.8166666666666667,0.0,,,,
40,7510,119.60696697589675,29.893528079833747,2,2,0.5933333333333334,1106.0122004592054,0.1666666666666666,0.76,0.0733333333333333,,,,
41,7518,118.99871883760044,29.895235915537217,2,2,0.6266666666666667,1320.9936290464157,0.1833333333333333,0.81,0.0066666666666666,,,,
42,7736,119.30477369750476,29.94607858574861,2,2,0.54,1008.6525087312816,0.2266666666666666,0.7666666666666667,0.0066666666666666,,,,
43,7934,119.88149153225218,29.984524955031414,2,2,0.68,1048.5959871855323,0.13,0.81,0.06,,,,
