pair,observed_agree,expected_if_cond_indep,excess,excess_boot_CI,excess_LOCO_range
DW=ESRI,0.874,0.617,0.258,"[0.23,0.29]","[0.24,0.27]"
WC=DW,0.484,0.359,0.126,"[0.10,0.15]","[0.11,0.14]"
WC=ESRI,0.497,0.354,0.143,"[0.12,0.17]","[0.13,0.15]"
